관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,주건축물수,세대수,가구수,주차_대수
11350-384,,지상,서울특별시 노원구 공릉로42길 13-14,286.8,3,198,0,245
11440-576,,지상,서울특별시 마포구 동교로41길 31-10,0.0,2,0,2,0
11290-587,,지상,서울특별시 성북구 정릉로 305,327.16,9,866,0,802
11440-735,,지상,서울특별시 마포구 토정로 56,26.12,17,0,0,0
11440-310,,지상,신수동 1-1,114.36,27,0,0,1104
11710-100466503,,지상,장지동 878-0,209.91,8,549,0,1103
11470-100183628,,,서울특별시 양천구 안양천로 669,17.65,2,0,0,10
11545-100235593,,지상,독산동 1155-0,499.97,8,1236,0,2214
11290-100206026,,지상,서울특별시 성북구 길음로9길 50,241.72,17,1012,0,1344
11650-100238714,,지상,서울특별시 서초구 청계산로9길 1-12,138.45,12,585,0,615
11260-328,,지상,서울특별시 중랑구 겸재로30길 42,249.98,3,199,0,211
11230-100255615,,지상,서울특별시 동대문구 장한로27가길 37,247.97,9,469,0,569
11470-294,,지상,서울특별시 양천구 오목로1길 46,249.77,3,169,0,171
11530-887,,지상,서울특별시 구로구 중앙로15길 125,302.48,5,298,0,374
11710-100497084,,지상,서울특별시 송파구 올림픽로 300,573.24,5,0,0,3728
11170-100194274,,지상,이태원동 108-9,396.77,2,0,0,135
11230-100208704,,지상,서울특별시 동대문구 왕산로19다길 15,199.88,2,18,0,15
11545-246,,지상,서울특별시 금천구 시흥대로51길 55,0.0,3,233,0,0
11560-546,,지상,영등포동2가 234-0,0.0,4,0,4,0
11650-100281395,,지상,서울특별시 서초구 서초대로34가길 52,177.84,4,99,0,0
11620-236,,지상,서울특별시 관악구 신림로 67,98.5,6,0,0,28
11650-100218813,,지상,서울특별시 서초구 태봉로2길 30,163.49,8,382,0,430
11650-48,,지상,서울특별시 서초구 방배로18길 67,294.72,3,136,0,378
11260-661,,지상,서울특별시 중랑구 중랑천로 286,296.86,9,601,0,785
11260-658,,지상,서울특별시 중랑구 공릉로2라길 15,303.36,3,296,0,352
11710-100190598,,지상,서울특별시 송파구 올림픽로 240,247.7887,8,0,0,3559
11530-639,,지상,서울특별시 구로구 오류로8길 11,322.44,6,378,0,414
11530-627,,지상,서울특별시 구로구 오리로 1197,124.29,23,620,0,635
11110-575,,지상,서울특별시 종로구 자하문로 136,41.6203,9,0,0,129
11260-198,,지상,서울특별시 중랑구 용마산로 474,92.96,2,0,0,1
11290-1478,,지상,성북동 291-5,29.5069,7,0,0,2
11380-721,,지상,서울특별시 은평구 은평로 219-1,0.0,3,0,2,0
11440-675,,지상,서울특별시 마포구 연희로 25,230.71,2,0,0,22
11440-198,,지상,서울특별시 마포구 신촌로12길 11,129.02,4,0,1,12
11320-227,,지상,서울특별시 도봉구 노해로 239,127.84,2,0,2,17
11290-1390,,지상,서울특별시 성북구 동소문로13길 38,85.93,2,0,0,29
11290-100182996,,지상,서울특별시 성북구 종암로40길 30,83.69,1,0,0,0
11230-100253755,,지상,서울특별시 동대문구 답십리로56길 105,243.89,10,802,0,887
11470-248,,지상,서울특별시 양천구 월정로 117,35.56,2,0,1,0
11110-100218945,,지상,서울특별시 종로구 통일로 230,209.28,5,195,0,241
11440-666,,지상,서울특별시 마포구 도화2길 64,71.11,2,0,0,58
11200-96,,지상,서울특별시 성동구 한림말길 50,212.85,11,817,0,790
11170-74,,지상,서울특별시 용산구 원효로 40,358.45,4,300,0,306
11200-100232717,,지상,서울특별시 성동구 독서당로 344,200.49,16,606,0,782
11350-656,,지상,서울특별시 노원구 공릉로34길 62,226.25,24,1676,0,1239
11500-100343992,,지상,서울특별시 강서구 공항대로 103,220.66,24,1529,0,1989
11380-393,,지상,응암동 408-2,97.49,2,0,0,6
11440-1446,,지상,서울특별시 마포구 백범로25길 34,64.87,6,0,0,0
11320-473,,지상,서울특별시 도봉구 마들로 646,249.75,11,603,0,1034
11590-396,,지상,서울특별시 동작구 서달로1길 17,255.33,7,423,0,432
11590-189,,지상,서울특별시 동작구 매봉로 173,0.0,2,0,0,0
11470-591,,지상,서울특별시 양천구 신정로7길 60-7,245.0,7,390,0,283
11470-46,,지상,목동 603-8,0.0,2,0,2,0
11590-100197492,,지상,흑석동 335-0,230.39,10,655,0,805
11200-100178785,,지상,서울특별시 성동구 금호로 15,228.37,20,888,0,1029
11530-590,,지상,서울특별시 구로구 구일로4길 46,0.0,7,735,0,0
11740-493,,지상,서울특별시 강동구 고덕로 130,277.67,22,1622,0,2185
11530-883,,지상,서울특별시 구로구 중앙로6길 5-15,350.19,5,448,0,465
11440-1468,,지상,서울특별시 마포구 월드컵로 134,0.0,0,0,0,0
11500-547,,지상,서울특별시 강서구 양천로 329,55.7,4,0,0,31
11230-360,,지상,서울특별시 동대문구 고산자로 534,300.55,14,1070,0,1357
11710-436,,지상,서울특별시 송파구 새말로 133,297.62,2,0,2,14
11710-440,,지상,서울특별시 송파구 잠실로 62,274.75,46,3696,0,4900
11740-116,,지상,서울특별시 강동구 상암로3길 77,395.36,5,490,0,627
11740-41,,지상,서울특별시 강동구 천호옛12길 27,0.0,3,277,0,154
11410-100181874,,지상,서울특별시 서대문구 통일로 436,0.0,2,0,0,0
11560-1092,,지상,서울특별시 영등포구 도신로 31,325.82,9,1187,0,1314
11560-1081,,지상,서울특별시 영등포구 도영로 2-5,352.56,6,481,0,571
11170-61,,지상,서울특별시 용산구 서빙고로51길 68-14,292.27,3,172,0,298
11650-100274615,,지상,서울특별시 서초구 명달로9길 57,243.47,5,353,0,572
11530-1022,,지상,서울특별시 구로구 개봉로20길 158,363.75,12,965,0,1052
11320-393,,지상,서울특별시 도봉구 노해로63다길 34,284.63,4,449,0,0
11320-395,,지상,서울특별시 도봉구 노해로69길 97,0.0,20,1981,0,0
11545-580,,지상,가산동 459-40,239.11,2,0,0,46
11440-100187833,,지상,서울특별시 마포구 월드컵북로43길 11,193.63,6,213,0,256
11440-1601,,지상,서울특별시 마포구 대흥로 57,157.9,2,0,2,0
11590-100191131,,지상,서울특별시 동작구 양녕로26길 42,186.42,5,0,0,192
11710-627,,지상,서울특별시 송파구 양산로4길 8,240.54,6,545,0,0
11290-100208654,,지상,동소문동7가 120-0,234.03,5,194,0,228
11470-100232168,,지상,서울특별시 양천구 목동중앙북로8길 71,217.11,7,410,0,486
11590-47,,지상,서울특별시 동작구 만양로 19,324.31,8,1696,0,2462
11650-392,,지상,서울특별시 서초구 서운로9길 63,292.22,2,126,0,165
11710-313,,지상,서울특별시 송파구 백제고분로 135,181.93,2,0,0,45
11740-60,,지상,서울특별시 강동구 천호옛길 81,0.0,2,0,2,0
11200-910,,지상,서울특별시 성동구 상원길 63,0.0,11,840,0,796
11410-100182110,,지상,북아현동 1-512,0.0,2,0,2,0
11350-227,,지상,서울특별시 노원구 동일로227길 61,71.53,2,0,0,41
11620-100282350,,지상,서울특별시 관악구 관악로5길 33,0.0,2,0,0,0
11530-100192097,,지상,서울특별시 구로구 부일로9길 158,58.35,2,0,0,73
11740-457,,지상,서울특별시 강동구 양재대로123길 30,233.91,2,74,0,86
11650-100205372,,지상,서울특별시 서초구 고무래로 35,243.7,9,1119,0,1684
11560-854,,지상,서울특별시 영등포구 영등포로25길 22,0.0,1,0,1,0
11320-337,,지상,서울특별시 도봉구 도당로 37,0.0,4,476,0,0
11710-377,,지상,서울특별시 송파구 올림픽로43길 20,67.27,2,0,0,48
11590-1030,,지상,서울특별시 동작구 사당로16다길 57,910.91,3,296,0,0
11470-556,,지상,서울특별시 양천구 목동중앙로7길 32,238.98,9,276,0,546
11260-399,,지상,서울특별시 중랑구 사가정로42길 90,0.0,4,258,0,0
11320-345,,지상,서울특별시 도봉구 해등로32길 8,247.48,9,658,0,388
11470-731,,지상,서울특별시 양천구 목동동로12길 59,0.0,3,540,0,193
11710-100229082,,지상,서울특별시 송파구 올림픽로 25,0.0,0,0,2,0
11500-565,,지상,서울특별시 강서구 까치산로2길 89-1,81.47,2,0,1,19
11290-813,,지상,서울특별시 성북구 장월로1길 28,281.31,18,1531,0,1602
11290-899,,지상,서울특별시 성북구 길음로13길 11,239.12,2,132,0,80
11230-235,,지상,서울특별시 동대문구 답십리로69길 99,298.29,1,107,0,124
11170-178,,지상,서울특별시 용산구 이촌로29길 21-7,199.4,4,144,0,163
11140-739,,지상,서울특별시 중구 다산로 170,63.98,0,0,0,0
11350-539,,지상,서울특별시 노원구 화랑로47길 38,269.11,10,484,0,494
11590-417,,지상,서울특별시 동작구 여의대방로22나길 40,82.89,1,0,0,31
11350-99,,지상,서울특별시 노원구 중계로 184,0.0,18,960,0,1353
11530-814,,지상,고척동 74-3,5.38,2,0,0,0
11260-100195614,,지상,서울특별시 중랑구 동일로140길 33,81.84,5,0,0,0
11290-100192747,,지상,서울특별시 성북구 낙산길 243-15,229.99,9,377,0,414
11290-1554,,지상,서울특별시 성북구 정릉로26길 8,263.64,10,745,0,856
11200-100194832,,지상,금호동2가 1215-0,240.0,5,401,0,461
11410-100183722,,지상,서울특별시 서대문구 서소문로 43-8,244.582,3,180,0,201
11260-521,,지상,서울특별시 중랑구 동일로 941,398.93,2,188,0,183
11410-100187366,,지상,서울특별시 서대문구 거북골로 120,233.87,10,473,0,576
11530-880,,지상,서울특별시 구로구 경인로47다길 34-7,212.66,4,204,0,414
11545-318,,지상,서울특별시 금천구 문성로 67,66.87,4,0,0,0
11545-435,,지상,서울특별시 금천구 시흥대로 450,263.64,2,0,0,18
11440-809,,지상,서울특별시 마포구 독막로 32,227.11,2,0,1,24
11530-34,,지상,서울특별시 구로구 오류로 70,185.91,3,0,1,17
11650-191,,지상,서울특별시 서초구 방배로11길 35,246.05,2,66,0,94
11740-100279802,,지상,서울특별시 강동구 천중로 253,288.38,6,366,0,482
11590-403,,지상,서울특별시 동작구 장승배기로 26,299.14,7,400,0,506
11560-320,,지상,서울특별시 영등포구 국회대로53길 20,98.82,2,0,0,0
11470-100231619,,지상,서울특별시 양천구 신정로7길 75,268.03,6,499,0,334
11650-280,,지상,서울특별시 서초구 방배로18길 52,65.65,3,0,0,0
11710-547,,지상,서울특별시 송파구 중대로 294,42.74,2,0,0,0
11200-333,,지상,마장동 457-0,0.0,25,0,0,0
11200-5,,지상,서울특별시 성동구 난계로 73,336.63,4,425,0,460
11230-159,,지상,서울특별시 동대문구 전농로 172,92.69,2,0,0,69
11470-456,,지상,서울특별시 양천구 오목로3길 17,295.59,3,236,0,253
11170-2,,지상,서울특별시 용산구 신흥로3가길 66,141.55,5,0,0,85
11470-100199145,,지상,서울특별시 양천구 오목로 101,59.0,2,0,0,55
11215-480,,,자양동 227-7,414.9,5,1170,0,3869
11740-100181998,,지상,서울특별시 강동구 아리수로97길 68,152.21,10,442,0,571
11110-100183699,,지상,서울특별시 종로구 동망산길 47,187.31,7,416,0,514
11110-933,,지상,서울특별시 종로구 율곡로 194,278.02,2,2,0,403
11200-1066,,지상,마장동 790-7,0.0,19,0,16,0
11710-100228275,,지상,서울특별시 송파구 충민로 188,143.31,8,221,0,263
11305-100226594,,지상,서울특별시 강북구 한천로124길 14,106.48,2,0,0,241
11410-100181930,,지상,서울특별시 서대문구 세검정로4길 152-46,0.0,0,0,0,0
11440-1062,,지상,서울특별시 마포구 월드컵북로6길 19,0.0,0,0,0,0
11590-100209636,,지상,서울특별시 동작구 상도로 346-2,202.29,17,882,0,1185
11410-309,,지상,서울특별시 서대문구 이화여대길 50-12,229.47,12,855,0,517
11590-1079,,지상,서울특별시 동작구 여의대방로44길 47,183.76,16,1723,0,426
11680-100285184,,지상,서울특별시 강남구 압구정로 123,57.06,2,0,0,27
11590-46,,지상,서울특별시 동작구 만양로8길 50,275.01,17,901,0,918
11440-100258163,,지상,서울특별시 마포구 신촌로 234,0.0,2,0,0,0
11290-435,,지상,서울특별시 성북구 종암로25길 30,238.25,17,1168,0,1346
11530-609,,지상,서울특별시 구로구 구로동로47길 24,341.29,5,597,0,617
11530-603,,지상,서울특별시 구로구 구일로2길 60,358.35,10,829,0,832
11650-100195352,,지상,서울특별시 서초구 남부순환로339길 38,51.2,2,0,0,0
11200-100194373,,지상,서울특별시 성동구 마조로11길 18,80.5,3,0,0,0
11320-108,,지상,서울특별시 도봉구 도봉로170길 40,244.32,7,448,0,489
11320-448,,지상,서울특별시 도봉구 해등로 50,0.0,33,2626,0,1081
11740-100250966,,지상,서울특별시 강동구 천중로2길 1,199.77,2,34,0,29
11590-100224046,,지상,상도동 535-0,359.9927,10,582,0,745
11560-258,,지상,서울특별시 영등포구 국회대로 650-1,0.0,5,0,5,0
11560-1221,,지상,서울특별시 영등포구 당산로54길 11,364.34,5,348,0,329
11230-526,,지상,서울특별시 동대문구 한천로 300,246.12,10,460,0,525
11530-171,,지상,서울특별시 구로구 경인로 643,418.18,5,655,0,779
11410-84,,지상,서울특별시 서대문구 독립문로14길 66,258.68,4,237,0,294
11410-268,,지상,서울특별시 서대문구 수색로 154,351.79,2,254,0,300
11140-799,,지상,서울특별시 중구 동호로 249,104.32,5,0,0,711
11110-475,,지상,서울특별시 종로구 종로 236-1,313.4,2,0,0,0
11350-723,,지상,서울특별시 노원구 화랑로 653,0.0,8,0,0,0
11710-233,,지상,서울특별시 송파구 풍성로14길 45,73.74,5,0,0,68
11200-100241937,,지상,서울특별시 성동구 왕십리로 83-21,599.89,5,280,0,1546
11200-100210817,,지상,서울특별시 성동구 무학로 33,224.51,27,1702,0,2431
11290-1138,,지상,서울특별시 성북구 고려대로17가길 64,199.29,12,528,0,588
11710-544,,지상,서울특별시 송파구 위례성대로 180,351.85,2,0,0,25
11200-693,,지상,서울특별시 성동구 고산자로17길 10-4,0.0,0,0,29,0
11170-127,,지상,서울특별시 용산구 효창원로 228,53.8419,3,0,0,60
11290-1404,,지상,서울특별시 성북구 종암로 196,107.92,6,0,0,81
11200-1208,,지상,서울특별시 성동구 마장로39길 43,285.87,4,286,0,305
11200-100226857,,지상,마장동 835-0,198.5344,2,60,0,64
11200-100193052,,지상,금호동3가 700-0,223.88,7,403,0,446
11230-41,,지상,서울특별시 동대문구 한천로58길 47,343.15,17,1368,0,1529
11680-100237430,,지상,자곡동 602-0,150.64,11,716,0,880
11710-100525223,,지상,오금동 135-0,386.02,3,269,0,283
11380-100308794,,지상,서울특별시 은평구 수색로22가길 9-1,78.28,2,0,2,0
11290-1649,,지상,서울특별시 성북구 보국문로30길 15,349.94,8,791,0,648
11230-1368,,지상,서울특별시 동대문구 답십리로 210-30,0.0,5,600,0,0
11590-100195554,,지상,서울특별시 동작구 서달로 50-26,11.54,11,0,0,8
11740-83,,지상,서울특별시 강동구 천호대로 1102,417.93,2,0,0,163
11710-100518201,,지상,서울특별시 송파구 동남로 341,216.16,8,818,0,886
11260-10,,지상,서울특별시 중랑구 신내로 115,187.5,9,1430,0,382
11260-657,,지상,서울특별시 중랑구 중랑천로 332,392.31,3,239,0,265
11740-59,,지상,서울특별시 강동구 천호옛길 84,91.8,2,0,0,0
11530-387,,지상,서울특별시 구로구 오리로13길 12-27,0.0,2,0,2,0
11260-446,,지상,서울특별시 중랑구 면목로37길 58,481.61,2,186,0,401
11530-633,,지상,서울특별시 구로구 시흥대로161길 50,298.36,5,240,0,255
11350-157,,지상,서울특별시 노원구 마들로1가길 121,358.8,29,3003,0,3940
11410-236,,지상,서울특별시 서대문구 연대동문길 47-6,109.22,3,0,2,3
11380-808,,지상,서울특별시 은평구 통일로 850,0.0,22,0,0,0
11620-10,,지상,서울특별시 관악구 보라매로 62,268.07,9,710,0,0
11590-1078,,지상,서울특별시 동작구 등용로 127,351.42,7,514,0,524
11710-498,,지상,서울특별시 송파구 동남로 193,343.0,18,2065,0,0
11110-100190333,,지상,명륜2가 4-0,292.57,4,436,0,0
11350-406,,지상,서울특별시 노원구 중계로8길 29,242.09,9,448,0,530
11260-49,,지상,서울특별시 중랑구 동일로 752,376.21,11,1544,0,1548
11545-418,,지상,시흥동 984-0,105.02,37,0,0,0
11620-131,,지상,서울특별시 관악구 봉천로 505,82.43,3,0,0,61
11530-100237093,,지상,서울특별시 구로구 경인로46길 51,36.72,3,0,0,82
11380-769,,지상,서울특별시 은평구 갈현로 339,134.24,2,0,0,6
11440-694,,지상,서울특별시 마포구 동교로 177,218.6,2,0,0,7
11530-109,,지상,서울특별시 구로구 고척로 49,299.85,13,1236,0,824
11530-100264927,,지상,서울특별시 구로구 경인로13길 19,199.95,2,27,0,17
11110-755,,지상,서울특별시 종로구 통일로 246-10,218.7,15,964,0,1365
11200-3,,지상,서울특별시 성동구 금호로 100,219.07,22,1807,0,2371
11320-174,,지상,서울특별시 도봉구 노해로40길 71,230.38,3,155,0,170
11350-158,,지상,서울특별시 노원구 화랑로 815,58.06,7,0,0,70
11410-264,,지상,서울특별시 서대문구 응암로 127-4,38.18,2,0,1,10
11530-386,,지상,서울특별시 구로구 도림로 97,0.0,1,2,0,0
11620-461,,지상,서울특별시 관악구 광신1길 17,0.0,2,0,2,0
11620-100195299,,,봉천동 931-7,248.2,2,0,0,19
11545-644,,지상,서울특별시 금천구 가산디지털1로 75-14,83.1,2,0,0,21
11290-1196,,지상,서울특별시 성북구 북악산로29길 67,272.25,3,297,0,339
11560-151,,지상,서울특별시 영등포구 영등포로 81-4,0.0,9,0,4,0
11290-1376,,지상,서울특별시 성북구 동소문로34길 24,223.2,9,1278,0,1676
11545-401,,지상,서울특별시 금천구 금하로 750,296.47,10,700,0,792
11545-90,,지상,서울특별시 금천구 시흥대로71길 42,0.0,2,0,0,0
11320-425,,지상,창동 451-0,275.6,0,121,0,97
11320-484,,지상,도봉동 654-0,334.61,8,526,0,721
11230-5,,지상,서울특별시 동대문구 장안벚꽃로5길 19,362.4,4,393,0,437
11140-61,,지상,신당동 239-6,0.0,0,0,0,0
11170-155,,지상,서울특별시 용산구 두텁바위로60길 49,149.92,2,0,0,32
11530-694,,지상,서울특별시 구로구 경인로 343,318.85,7,600,0,671
11260-620,,지상,서울특별시 중랑구 용마산로129가길 41,302.38,5,260,0,296
11740-703,,지상,서울특별시 강동구 암사길 31,154.55,2,0,1,2
11545-100219217,,지상,독산동 162-18,192.7,2,0,1,9
11200-100182652,,지상,서울특별시 성동구 성수일로4길 26,249.44,5,445,0,800
11200-969,,지상,서울특별시 성동구 둘레11길 1,316.79,3,127,0,104
11500-100323632,,지상,서울특별시 강서구 공항대로 593,249.71,3,299,0,247
11530-882,,지상,서울특별시 구로구 경인로47길 150,274.49,2,163,0,136
11560-100226319,,지상,서울특별시 영등포구 영신로55길 8,244.78,3,162,0,185
11320-100204232,,지상,쌍문동 513-1,18.4,3,0,0,2
11290-100190208,,지상,돈암동 173-1,158.1941,27,0,0,552
11470-423,,지상,서울특별시 양천구 오목로 336,288.6121,2,0,0,95
11470-10,,지상,서울특별시 양천구 신목로5길 9,0.0,3,210,0,0
11470-210,,지상,서울특별시 양천구 목동동로10길 16-6,321.86,4,292,0,389
11260-100255611,,지상,서울특별시 중랑구 사가정로72길 26,235.86,9,497,0,590
11230-100221513,,지상,답십리동 1003-0,242.34,36,2652,0,3187
11530-589,,지상,서울특별시 구로구 구일로 154-17,293.9,4,256,0,180
11530-107,,지상,서울특별시 구로구 경인로 248-14,377.55,4,252,0,242
11740-34,,지상,서울특별시 강동구 풍성로 128,315.16,12,1220,0,1262
11560-100257809,,지상,서울특별시 영등포구 선유로9길 30,341.28,8,499,0,717
11380-580,,지상,서울특별시 은평구 증산로5길 27-30,46.03,4,0,0,73
11560-100224738,,지상,여의도동 25-11,625.32,3,0,0,232
11200-100188792,,지상,성수동2가 289-281,83.75,3,0,0,5
11305-523,,지상,서울특별시 강북구 4.19로 135,0.0,4,0,0,0
11110-100211004,,지상,홍파동 199-0,252.88,15,1148,0,1506
11530-593,,지상,서울특별시 구로구 구일로4길 65,0.0,13,1400,0,0
11350-590,,지상,서울특별시 노원구 화랑로 355,301.99,2,138,0,163
11350-715,,지상,서울특별시 노원구 동일로198길 24,375.64,4,363,0,344
11680-100251429,,지상,역삼동 783-11,198.23,2,17,0,14
11410-100216842,,지상,남가좌동 385-0,233.35,75,4300,0,5823
11410-252,,지상,서울특별시 서대문구 연희로5길 46-11,392.85,3,220,0,224
11350-91,,지상,서울특별시 노원구 공릉로 438,83.05,4,0,0,78
11545-704,,지상,독산동 152-1,109.75,2,0,0,157
11230-1016,,지상,서울특별시 동대문구 약령시로 25,299.78,7,640,0,890
11740-488,,지상,서울특별시 강동구 천호대로175길 39,117.68,2,0,0,128
11380-605,,지상,서울특별시 은평구 증산로1길 26,171.84,4,196,0,226
11410-402,,지상,서울특별시 서대문구 통일로 165,102.6602,2,0,0,51
11410-100208355,,지상,북가좌동 484-0,115.1,2,0,0,8
11290-1704,,지상,서울특별시 성북구 솔샘로 116,256.98,31,1971,0,0
11560-1924,,지상,서울특별시 영등포구 국회대로37길 22,294.51,6,292,0,350
11350-652,,지상,서울특별시 노원구 동일로192가길 16,76.21,2,0,0,45
11290-100195970,,지상,서울특별시 성북구 종암로23길 35,225.2,2,206,0,148
11290-1269,,지상,서울특별시 성북구 길음로 16,233.18,12,977,0,1257
11215-559,,지상,서울특별시 광진구 뚝섬로31길 20,322.99,5,314,0,329
11530-166,,지상,서울특별시 구로구 경인로66길 5,290.58,2,120,0,123
11380-159,,지상,서울특별시 은평구 통일로 819,0.0,2,0,0,0
11500-392,,지상,서울특별시 강서구 등촌로13자길 42-14,64.47,2,0,0,47
11650-100197636,,지상,서울특별시 서초구 효령로33길 50,206.21,9,496,0,937
11350-100204511,,지상,중계동 363-7,38.42,4,0,0,14
11440-1328,,지상,서울특별시 마포구 백범로 139,70.44,7,0,0,79
11650-100238114,,지상,양재동 232-4,45.14,11,0,0,705
11680-389,,지상,서울특별시 강남구 개포로 516,0.0,22,1960,0,0
11500-701,,지상,서울특별시 강서구 양천로67길 96-14,0.0,2,0,2,0
11260-451,,지상,서울특별시 중랑구 동일로 569-55,396.63,3,111,0,111
11290-100188896,,지상,서울특별시 성북구 월계로36길 27,248.29,10,611,0,805
11170-97,,지상,서울특별시 용산구 이태원로 29,47.138,8,0,0,754
11530-700,,지상,서울특별시 구로구 도림천로 448,407.27,2,0,0,250
11650-100282815,,지상,서울특별시 서초구 반포대로18길 36,828.48,5,318,0,725
11215-74,,지상,서울특별시 광진구 아차산로 710,20.53,4,0,0,15
11530-100196318,,지상,서울특별시 구로구 중앙로8길 11,245.31,5,180,0,209
11740-100288342,,지상,서울특별시 강동구 상일로 55,244.49,20,1824,0,2425
11740-557,,지상,서울특별시 강동구 천호대로 1239,299.44,13,596,0,977
11530-93,,지상,서울특별시 구로구 오류로8라길 20-8,0.0,5,198,0,0
11740-386,,지상,서울특별시 강동구 천중로51길 118,68.56,2,0,1,1
11500-100265892,,지상,화곡동 784-2,186.26,3,32,0,26
11500-100231151,,지상,내발산동 720-2,142.59,2,0,0,8
11545-100249933,,지상,독산동 1051-11,185.76,2,32,0,21
11650-100252714,,지상,서울특별시 서초구 신반포로15길 19,299.73,15,1612,0,2973
11680-100240009,,지상,자곡동 618-0,182.41,13,402,0,520
11500-100200613,,지상,서울특별시 강서구 까치산로4다길 7,198.96,2,18,0,18
11440-100188063,,지상,서울특별시 마포구 월드컵북로42가길 11,199.8,4,184,0,169
11500-100309512,,지상,방화동 593-63,191.16,3,39,0,32
11500-100237022,,지상,화곡동 453-18,199.62,2,20,0,18
11530-170,,지상,서울특별시 구로구 신도림로 87,395.69,13,1095,0,1533
11530-100232533,,지상,서울특별시 구로구 천왕로 21,163.06,5,374,0,262
11200-532,,지상,서울특별시 성동구 마장로 271,241.45,6,460,0,454
11500-100248705,,지상,화곡동 851-21,199.4,2,29,0,21
11545-100242711,,지상,서울특별시 금천구 독산로 263,249.05,3,38,0,49
11530-100262207,,지상,서울특별시 구로구 개봉로12길 9-22,193.99,2,23,0,18
11500-100244830,,지상,마곡동 734-0,179.92,5,237,0,273
11545-100226439,,지상,시흥동 823-70,199.44,2,29,0,22
11215-307,,지상,서울특별시 광진구 아차산로65길 6,0.0,2,0,2,0
11290-1275,,지상,안암동5가 1-2,92.23,57,0,0,3791
11500-100205888,,지상,서울특별시 강서구 강서로68길 36,0.0,3,0,0,0
11590-100230645,,지상,서울특별시 동작구 장승배기로11가길 11,260.14,8,471,0,563
11215-100260150,,지상,서울특별시 광진구 자양로19가길 10-5,199.64,2,15,0,11
11350-579,,지상,서울특별시 노원구 월계로55길 15,196.53,6,884,0,334
11740-601,,지상,서울특별시 강동구 진황도로 212,300.74,4,278,0,348
11320-104,,지상,서울특별시 도봉구 시루봉로 166,241.0,4,212,0,240
11530-472,,지상,서울특별시 구로구 남부순환로95길 54,399.91,7,783,0,709
11530-996,,지상,서울특별시 구로구 경인로38길 13,328.08,2,173,0,171
11290-100215092,,지상,돈암동 642-0,199.04,7,192,0,319
11290-1379,,지상,서울특별시 성북구 북악산로 913,219.59,6,460,0,678
11560-891,,지상,서울특별시 영등포구 당산로42길 13,280.59,6,480,0,580
11590-649,,지상,서울특별시 동작구 사당로8길 44,0.0,3,0,3,0
11470-549,,지상,서울특별시 양천구 월정로9길 17,244.83,3,202,0,207
11710-183,,지상,서울특별시 송파구 올림픽로 625,0.0,3,0,0,0
11215-285,,지상,서울특별시 광진구 광나루로56길 63,398.89,17,1592,0,2085
11560-100271088,,지상,서울특별시 영등포구 영신로 247,299.99,9,802,0,1135
11680-25,,지상,서울특별시 강남구 역삼로 314,275.36,5,332,0,552
11200-336,,지상,서울특별시 성동구 뚝섬로 434,243.52,3,157,0,247
11260-100239509,,지상,묵동 396-0,247.29,13,719,0,917
11350-695,,지상,서울특별시 노원구 동일로242라길 12-5,108.73,2,18,0,5
11530-106,,지상,서울특별시 구로구 서해안로34가길 18,299.84,3,247,0,178
11530-869,,지상,서울특별시 구로구 중앙로5길 62,0.0,6,715,0,0
11500-100334073,,지상,서울특별시 강서구 강서로56길 56,248.8,3,44,0,42
11290-656,,지상,서울특별시 성북구 숭인로2길 61,269.82,20,1377,0,1693
11290-31,,지상,서울특별시 성북구 서경로 116,129.78,8,0,0,218
11620-165,,지상,서울특별시 관악구 신림로46길 1,77.67,2,0,0,16
11290-100262531,,지상,서울특별시 성북구 한천로 713,272.86,19,1562,0,1911
11545-100212977,,지상,독산동 165-3,193.59,2,0,2,8
11290-100183604,,지상,정릉동 1032-0,173.77,5,169,0,183
11260-100220378,,지상,면목동 1537-0,199.65,5,265,0,333
11230-569,,지상,서울특별시 동대문구 장한로8길 23-13,118.53,2,0,2,0
11740-100246539,,지상,서울특별시 강동구 천호대로186길 8,213.97,2,29,0,24
11680-169,,지상,서울특별시 강남구 개포로110길 15,0.0,17,802,0,0
11680-177,,지상,서울특별시 강남구 양재대로55길 6,189.55,26,2934,0,0
11680-100248229,,지상,율현동 513-0,74.47,12,169,0,208
11680-100235109,,지상,수서동 795-0,165.96,15,787,0,950
11680-100233589,,지상,자곡동 611-0,159.95,21,1020,0,1554
11680-37,,지상,서울특별시 강남구 도곡로21길 15,236.79,2,93,0,119
11680-363,,지상,서울특별시 강남구 영동대로 640,296.32,4,449,0,1253
11740-548,,지상,서울특별시 강동구 고덕로27길 36,277.05,9,568,0,682
11680-108,,지상,서울특별시 강남구 개포로 303,0.0,7,416,1,0
11680-189,,지상,서울특별시 강남구 광평로19길 10,208.4,8,1403,0,0
11680-81,,지상,서울특별시 강남구 도곡로14길 21,203.7,3,72,0,199
11680-183,,지상,서울특별시 강남구 광평로51길 22,247.71,8,498,0,0
11680-304,,지상,서울특별시 강남구 언주로86길 12,298.54,3,137,0,340
11680-27,,지상,서울특별시 강남구 역삼로 307,273.98,7,541,0,914
11680-246,,지상,서울특별시 강남구 도산대로96길 39,270.41,9,391,0,554
11680-230,,지상,서울특별시 강남구 논현로 213,0.0,12,1094,0,0
