관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,주건축물수,세대수,가구수,주차_대수
11740-433,,지상,서울특별시 강동구 구천면로 557,0.0,6,410,0,174
11215-288,,지상,서울특별시 광진구 영화사로 111,62.57,2,0,0,32
11710-565,,지상,서울특별시 송파구 오금로35길 17,0.0,24,1316,0,0
11215-66,,지상,서울특별시 광진구 아차산로 503-23,398.06,6,654,0,515
11170-54,,지상,서울특별시 용산구 이촌로88길 30,290.62,6,244,0,608
11680-224,,지상,서울특별시 강남구 광평로10길 6,108.02,21,570,0,0
11590-100246253,,지상,서울특별시 동작구 만양로 5,180.51,2,17,0,18
11560-1978,,지상,서울특별시 영등포구 영신로 191,276.94,6,468,0,749
11410-337,,지상,서울특별시 서대문구 증가로 10,0.0,2,0,0,0
11470-460,,지상,서울특별시 양천구 남부순환로33길 47,0.0,2,0,2,0
11470-113,,지상,서울특별시 양천구 월정로 223,0.0,2,0,2,0
11470-733,,지상,서울특별시 양천구 화곡로 72,98.2,2,0,0,21
11470-661,,지상,서울특별시 양천구 화곡로10길 19,132.47,2,0,0,37
11470-459,,지상,신월동 62-0,0.0,2,0,2,0
11320-100189750,,지상,서울특별시 도봉구 도당로 128-1,198.02,2,16,0,13
11230-100207042,,지상,답십리동 2-253,209.25,3,29,0,24
11260-100214849,,지상,서울특별시 중랑구 망우로67길 55,135.94,2,0,6,0
11230-100191461,,지상,장안동 464-3,270.33,1,0,0,33
11170-100195335,,지상,후암동 244-101,197.94,2,29,0,16
11320-100191124,,지상,방학동 616-32,199.92,2,16,0,13
11410-395,,지상,서울특별시 서대문구 수색로4길 7,0.0,2,0,1,0
11350-285,,지상,서울특별시 노원구 섬밭로 139,252.08,13,1426,0,1858
11410-100181637,,지상,연희동 1-1,0.0,2,0,0,0
11545-642,,지상,서울특별시 금천구 가산디지털1로 33-22,324.94,2,0,0,104
11590-1077,,지상,서울특별시 동작구 여의대방로44길 9,298.69,4,489,0,464
11590-18,,지상,서울특별시 동작구 여의대방로22길 24,251.41,2,132,0,136
11560-100226538,,지상,도림동 141-0,0.0,8,0,7,0
11530-100200909,,지상,개봉동 361-2,199.75,2,19,0,17
11530-100205020,,지상,구로동 100-10,45.4,2,0,0,3
11710-100460746,,지상,문정동 111-1,0.0,0,0,0,0
11230-266,,지상,서울특별시 동대문구 장안벚꽃로5길 10,248.69,7,216,0,290
11230-269,,지상,서울특별시 동대문구 홍릉로10길 48,299.96,5,390,0,463
11710-395,,지상,서울특별시 송파구 올림픽로 525,249.96,7,730,0,381
11740-30,,지상,서울특별시 강동구 천호대로168길 35,351.8,3,257,0,290
11740-100242813,,지상,서울특별시 강동구 천중로16길 37,198.19,9,99,0,70
11380-673,,지상,서울특별시 은평구 응암로 164,283.26,2,0,0,40
11530-417,,지상,서울특별시 구로구 구로중앙로27길 28-29,0.0,3,0,11,0
11500-100201224,,지상,서울특별시 강서구 화곡로66길 58,219.74,2,0,0,31
11500-146,,지상,서울특별시 강서구 방화동로 111,0.0,2,0,2,0
11320-134,,지상,도봉동 30-1,283.62,28,2678,0,0
11530-100211972,,지상,천왕동 280-0,170.76,12,571,0,695
11530-100185737,,지상,서울특별시 구로구 중앙로12길 7,240.39,3,216,0,252
11530-336,,지상,구로동 707-26,86.56,2,0,0,0
11560-507,,지상,서울특별시 영등포구 신길로 1,243.62,2,0,0,192
11590-1038,,지상,서울특별시 동작구 사당로2가길 102,287.57,10,719,0,755
11470-576,,지상,서울특별시 양천구 신정로 170,374.99,8,703,0,809
11140-641,,지상,서울특별시 중구 중림로4길 41,271.39,2,355,0,254
11230-1278,,지상,청량리동 744-0,86.38,2,0,0,0
11650-445,,지상,서울특별시 서초구 효령로61길 15,0.0,11,0,11,0
11710-100181274,,지상,서울특별시 송파구 올림픽로 135,275.25,65,5562,0,7876
11200-274,,지상,서울특별시 성동구 고산자로 319,0.0,0,0,22,0
11230-138,,지상,서울특별시 동대문구 황물로 34,0.0,3,0,0,3
11470-598,,지상,서울특별시 양천구 신목로 66,0.0,2,0,4,0
11530-147,,지상,서울특별시 구로구 오리로 1265,0.0,29,762,0,0
11545-465,,지상,서울특별시 금천구 벚꽃로6길 3,255.35,5,192,0,216
11680-231,,지상,서울특별시 강남구 광평로10길 50,89.45,14,291,0,0
11530-100264027,,지상,서울특별시 구로구 구일로2길 45,169.1,2,0,0,14
11710-191,,지상,서울특별시 송파구 오금로 407,0.0,7,814,0,0
11470-664,,지상,서울특별시 양천구 목동중앙북로8길 111,236.5,6,507,0,707
11560-1180,,지상,서울특별시 영등포구 경인로71길 50,53.78,5,0,1,22
11710-295,,지상,서울특별시 송파구 백제고분로15길 9,0.0,1,0,0,0
11380-423,,지상,서울특별시 은평구 은평로3길 25,76.42,4,0,0,0
11560-100192654,,지상,서울특별시 영등포구 국회대로 597,246.46,7,299,0,616
11200-1227,,지상,서울특별시 성동구 고산자로 164,295.96,21,1410,0,1535
11140-196,,지상,서울특별시 중구 새문안로 16,243.48,2,0,0,238
11110-647,,지상,서울특별시 종로구 새문안로 29,255.97,10,0,0,451
11740-100192607,,지상,서울특별시 강동구 상일로 74,177.05,43,2283,0,2616
11350-280,,지상,서울특별시 노원구 화랑로 727,30.77,15,0,0,0
11215-382,,지상,화양동 33-40,0.0,2,0,2,0
11260-100230591,,지상,서울특별시 중랑구 신내역로3길 56,19.97,2,0,0,38
11320-335,,지상,서울특별시 도봉구 시루봉로 107,0.0,3,553,0,0
11320-336,,지상,서울특별시 도봉구 방학로 193,0.0,15,1284,0,0
