관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,지상층수,지하층수,승강기_수,주차_대수
11410-15520,11410-100181605,지상,서울특별시 서대문구 연희로5길 98,0.0,2,1,0,0
11530-15869,,지상,서울특별시 구로구 경인로 59,45.99,1,1,0,3
11560-100222088,11560-100222087,지상,서울특별시 영등포구 도영로 66,0.0,3,1,1,0
11530-17029,,지상,서울특별시 구로구 구로동로 79-1,0.0,1,0,0,0
11680-16533,,지상,서울특별시 강남구 테헤란로8길 32,299.88,6,1,1,8
11650-16838,,지상,서울특별시 서초구 서초중앙로18길 43,259.56,6,1,0,8
11650-2052,,지상,서울특별시 서초구 동작대로 234,399.39,8,2,1,16
11650-9209,,지상,서울특별시 서초구 동산로19길 27,100.22,2,0,0,6
11170-1986,,지상,서울특별시 용산구 원효로 68,226.98,5,1,0,12
11170-1985,,지상,서울특별시 용산구 원효로 68,226.98,5,1,0,12
11170-15856,,지상,서울특별시 용산구 만리재로 138-1,0.0,3,1,0,0
11560-3246,11560-1244,지상,서울특별시 영등포구 도신로29길 28,0.0,1,0,0,0
11560-4697,,지상,서울특별시 영등포구 영등포로36길 16,291.98,5,1,0,2
11680-4446,,지상,서울특별시 강남구 도산대로12길 14,229.77,5,1,0,4
11260-100223955,,지상,서울특별시 중랑구 용마산로125길 108-17,69.7,2,0,0,2
11320-9737,,지상,서울특별시 도봉구 덕릉로60길 88,183.28,4,1,0,3
11230-36851,,지상,서울특별시 동대문구 제기로 11,0.0,3,0,0,0
11230-36324,,지상,서울특별시 동대문구 장한로 11,0.0,2,1,0,0
11230-34531,,지상,서울특별시 동대문구 사가정로 262,370.45,8,1,1,26
11230-30236,,지상,서울특별시 동대문구 서울시립대로7길 9,0.0,2,0,0,0
11230-29676,,지상,서울특별시 동대문구 왕산로 195,448.55,5,0,1,0
11230-28461,,지상,서울특별시 동대문구 고산자로38길 21-4,0.0,1,0,0,0
11230-13605,,지상,서울특별시 동대문구 한빛로 40,223.6,4,1,0,3
11305-30372,11305-425,지상,서울특별시 강북구 삼양로173길 31-6,29.3735,2,0,0,0
11305-30371,11305-425,지상,서울특별시 강북구 삼양로173길 31-6,75.7765,3,0,0,2
11200-12447,,지상,서울특별시 성동구 금호산9가길 62,0.0,3,1,0,0
11200-17479,,지상,서울특별시 성동구 상원길 64,239.27,4,1,0,7
11620-34139,,지상,서울특별시 관악구 시흥대로 554,165.43,4,1,0,15
11200-3495,,지상,서울특별시 성동구 무학봉26길 9,216.07,5,0,0,4
11650-15049,,지상,서울특별시 서초구 남부순환로317길 33,95.84,2,1,0,2
11140-6906,,지상,서울특별시 중구 창경궁로 36,0.0,2,0,0,0
11140-6905,,지상,서울특별시 중구 창경궁로 36,0.0,2,0,0,0
11110-100226385,,지상,서울특별시 종로구 돈화문로9길 6,351.79,5,1,1,0
11110-23048,,지상,서울특별시 종로구 새문안로 83,0.0,3,0,0,0
11110-26401,,지상,서울특별시 종로구 팔판길 22-1,0.0,2,1,0,0
11620-12953,,지상,서울특별시 관악구 봉천로 323,249.83,7,0,1,8
11680-22040,,지상,서울특별시 강남구 압구정로 467,236.93,6,3,1,14
11350-8751,,지상,서울특별시 노원구 한글비석로49길 64,170.92,4,1,0,4
11350-5492,,지상,서울특별시 노원구 상계로 147,0.0,2,1,0,0
11650-2144,,지상,서울특별시 서초구 동작대로 198,249.3448,6,1,1,8
