관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,용적율,지상층수,지하층수,승강기_수,주차_대수
11680-100311043,,지상,서울특별시 강남구 도곡로 331,249.86,7,4,1,98
11140-2441,,지상,서울특별시 중구 남대문시장4길 41-7,105.95,2,0,0,0
11470-100221773,11470-100220978,지상,서울특별시 양천구 중앙로36길 15,0.0,2,0,1,0
11500-18940,,지상,서울특별시 강서구 화곡로65길 63,94.31,3,0,0,3
11500-20289,,지상,서울특별시 강서구 양천로 93,110.66,3,1,0,2
11500-27006,,지상,서울특별시 강서구 강서로 56,272.43,5,1,1,5
11500-3118,11500-850,지상,서울특별시 강서구 곰달래로 223,0.0,5,0,1,8
11350-11190,,지상,서울특별시 노원구 동일로241가길 13,232.78,4,1,0,5
11350-12982,,지상,서울특별시 노원구 공릉로33길 16-4,139.19,3,1,0,0
11440-24872,,지상,서울특별시 마포구 월드컵로23길 5,99.31,2,1,0,0
11440-2327,,지상,서울특별시 마포구 신촌로30길 11,0.0,2,1,0,0
11440-23070,,지상,서울특별시 마포구 토정로3길 5,197.49,4,1,0,3
11440-19850,,지상,서울특별시 마포구 양화로15안길 19,0.0,4,1,0,0
11440-15740,,지상,서울특별시 마포구 광성로 37-8,173.6,3,0,0,0
11440-15286,,지상,서울특별시 마포구 독막로 230,298.07,8,2,1,10
11440-15036,,지상,서울특별시 마포구 서강로20길 23,0.0,1,0,0,0
11305-16946,11305-731,지상,서울특별시 강북구 도봉로96길 12,0.0,2,0,0,0
11305-16947,11305-731,지상,서울특별시 강북구 도봉로96길 12,0.0,2,0,0,0
11560-100220099,11560-100220554,지상,서울특별시 영등포구 선유로11길 26-1,0.0,1,0,0,0
11590-100183293,,지상,서울특별시 동작구 대방동15나길 20-5,189.2,4,1,1,5
11305-1000000000000001589566,,지상,서울특별시 강북구 한천로 1064-12,240.15,5,0,1,4
11650-100196876,,지상,서울특별시 서초구 서초대로77길 24,756.31,13,5,1,17
11680-4674,,지상,서울특별시 강남구 도산대로25길 36,0.0,3,1,0,0
11230-1000000000000001237417,11230-1000000000000001559566,지상,서울특별시 동대문구 망우로 46,16.77,3,0,1,0
11440-10131,,지상,서울특별시 마포구 토정로 256,192.92,4,1,1,3
11650-11565,,지상,서울특별시 서초구 신반포로45길 6,196.31,5,1,0,3
11440-1000000000000001527114,,지상,서울특별시 마포구 월드컵북로48길 14-14,233.81,5,0,1,2
11440-100215453,,지상,서울특별시 마포구 월드컵북로 325,249.45,6,1,1,6
11620-3789,,지상,서울특별시 관악구 남부순환로170길 2,0.0,3,1,0,0
11680-2861,,지상,서울특별시 강남구 논현로 32,194.97,4,1,0,4
11650-7829,,지상,서울특별시 서초구 논현로 157-6,147.07,3,1,0,4
11410-10761,,지상,서울특별시 서대문구 이화여대길 81,584.2085,10,2,1,0
11620-26519,,지상,서울특별시 관악구 대학길 66,201.49,4,1,0,0
11440-1000000000000001529523,,지상,서울특별시 마포구 동교로 183-7,218.74,5,1,1,3
11680-100270247,,지상,서울특별시 강남구 학동로 335,479.38,11,4,1,18
11680-100271994,,지상,서울특별시 강남구 논현로153길 43,196.04,5,1,1,3
11740-17325,,지상,서울특별시 강동구 양재대로 1655,0.0,3,1,0,27
11380-19202,,지상,서울특별시 은평구 통일로 751,0.0,1,0,0,0
11410-100199173,,지상,서울특별시 서대문구 증가로30길 45-9,199.99,4,0,1,2
11680-16339,,지상,서울특별시 강남구 선릉로155길 23-8,158.6,4,1,0,5
11200-21694,,지상,서울특별시 성동구 성수이로7가길 17,0.0,3,1,0,0
11680-8984,,지상,서울특별시 강남구 압구정로28길 22-11,0.0,5,1,0,8
11680-17424,,지상,서울특별시 강남구 학동로38길 34-2,176.96,5,0,0,5
11680-5394,,지상,서울특별시 강남구 일원로5길 29,190.72,4,1,0,4
11680-5771,,지상,서울특별시 강남구 역삼로88길 7,144.78,4,1,0,3
11545-12640,,지상,서울특별시 금천구 문성로 55,341.2,6,1,1,8
11680-100289803,,지상,서울특별시 강남구 테헤란로14길 40-6,241.03,8,1,1,4
11110-100193717,,지상,서울특별시 종로구 자하문로12길 9,95.92,2,1,0,3
11110-1000000000000001399301,,지상,서울특별시 종로구 돈화문로11가길 3,62.32,2,0,0,0
11680-19071,,지상,서울특별시 강남구 테헤란로34길 21-8,191.99,5,1,0,5
11680-7058,,지상,서울특별시 강남구 강남대로96길 18,209.77,5,1,0,6
11680-7130,,지상,서울특별시 강남구 선릉로 844,0.0,3,1,0,0
11680-7170,,지상,서울특별시 강남구 개포로25길 3-6,212.3,5,1,0,5
11110-10722,,지상,서울특별시 종로구 창경궁로20길 15-5,0.0,2,0,0,0
11110-11035,,지상,서울특별시 종로구 율곡로8길 57-4,196.96,4,1,1,2
11680-100257472,,지상,서울특별시 강남구 강남대로146길 39,149.41,4,1,1,8
11110-4168,,지상,서울특별시 종로구 동망산길 7,385.71,7,2,1,8
11110-15810,,지상,서울특별시 종로구 북촌로4길 24,0.0,1,0,0,0
11110-16589,,지상,서울특별시 종로구 필운대로5가길 11-5,88.1866,2,1,0,0
11680-100256990,,지상,서울특별시 강남구 언주로172길 25,199.46,7,1,1,6
11680-100313944,,지상,서울특별시 강남구 언주로93길 22-2,192.16,5,1,1,8
11740-887,11740-253,지상,서울특별시 강동구 구천면로40길 14,0.0,1,0,0,0
11680-5687,,지상,서울특별시 강남구 봉은사로2길 7,162.35,4,1,0,4
11680-15417,,지상,서울특별시 강남구 논현로74길 8,260.76,5,1,1,8
11680-16466,,지상,서울특별시 강남구 삼성로 539,188.21,5,1,0,9
11680-12308,,지상,서울특별시 강남구 논현로95길 29-12,227.48,5,1,0,5
11680-15038,,지상,서울특별시 강남구 압구정로14길 34,185.95,5,1,1,5
11680-24014,,지상,서울특별시 강남구 강남대로 442,345.71,8,1,1,89
11680-23851,,지상,서울특별시 강남구 개포로20길 5,213.41,5,1,0,5
11530-15916,,지상,서울특별시 구로구 구로동로 166,78.4,2,0,0,0
11530-18103,,지상,서울특별시 구로구 경인로19길 32,99.79,2,1,0,0
11530-19485,,지상,서울특별시 구로구 구로동로28길 63,160.85,3,1,0,0
11530-21946,,지상,서울특별시 구로구 경인로43길 10,48.45,2,0,0,1
11530-24247,,지상,서울특별시 구로구 경서로5길 9,0.0,2,1,0,0
11680-6092,,지상,서울특별시 강남구 논현로86길 16,192.49,4,3,1,20
11500-21171,,지상,서울특별시 강서구 강서로47길 86,199.79,4,0,1,4
11530-5139,,지상,서울특별시 구로구 구로동로17길 67,117.84,3,1,0,0
11680-100262770,,지상,서울특별시 강남구 도산대로99길 28-16,199.98,5,0,1,3
11680-23412,,지상,서울특별시 강남구 강남대로162길 41-15,162.35,3,1,0,4
11680-23368,,지상,서울특별시 강남구 도산대로16길 13-20,261.83,5,2,1,8
11530-7564,,지상,서울특별시 구로구 디지털로32나길 27-8,73.44,2,0,1,4
11680-10418,,지상,서울특별시 강남구 강남대로102길 13-8,100.91,2,1,0,0
11680-7625,,지상,서울특별시 강남구 삼성로146길 10,234.23,6,1,1,3
11680-7779,,지상,서울특별시 강남구 가로수길 31,272.74,5,1,1,7
11680-23122,,지상,서울특별시 강남구 언주로108길 17-2,160.31,3,1,0,2
11680-8413,,지상,서울특별시 강남구 테헤란로113길 15,75.78,4,1,0,10
11680-19667,,지상,서울특별시 강남구 삼성로 305,177.87,4,1,0,0
11680-13196,,지상,서울특별시 강남구 도산대로 132,178.0,4,1,0,6
11680-3962,,지상,서울특별시 강남구 언주로174길 19,203.48,5,1,1,5
11680-22791,,지상,서울특별시 강남구 도산대로 113,0.0,3,1,0,0
11680-22742,,지상,서울특별시 강남구 테헤란로77길 11-20,365.7,7,1,1,10
11590-8060,,지상,서울특별시 동작구 동작대로7길 7,163.87,3,1,0,0
11500-15354,,지상,서울특별시 강서구 개화동로27길 32,186.11,4,1,0,0
11680-11999,,지상,서울특별시 강남구 학동로26길 25,0.0,4,1,0,8
11710-1000000000000001563475,,지상,서울특별시 송파구 오금로11길 47-15,429.86,8,1,1,1
11680-18905,,지상,서울특별시 강남구 역삼로 455-6,242.93,5,1,0,9
11500-11725,,지상,서울특별시 강서구 개화동로 567,0.0,3,1,0,0
11440-16929,,지상,창전동 2-92,248.98,5,1,0,16
11230-9840,,지상,서울특별시 동대문구 서울시립대로16길 35,163.48,4,0,0,7
11140-3480,,지상,서울특별시 중구 세종대로 3-1,0.0,0,1,0,0
11680-9805,,지상,서울특별시 강남구 역삼로5길 7,148.69,3,1,0,3
11680-11738,,지상,서울특별시 강남구 봉은사로37길 20,193.29,5,2,0,9
11680-9988,,지상,서울특별시 강남구 도산대로101길 6,63.43,2,1,0,6
11530-10431,,지상,서울특별시 구로구 경인로 89,28.58,1,0,0,0
11680-20357,,지상,서울특별시 강남구 논현로 28,268.29,6,2,1,8
11680-14139,,지상,서울특별시 강남구 테헤란로2길 32,170.53,4,1,0,4
11680-14090,,지상,서울특별시 강남구 논현로164길 21,225.15,5,1,0,5
11530-13865,,지상,서울특별시 구로구 오류로 47,126.23,4,1,0,8
11680-13808,,지상,서울특별시 강남구 학동로23길 16,35.69,1,1,0,2
11170-9380,,지상,서울특별시 용산구 한강대로53길 24,0.0,2,1,0,0
11680-6731,,지상,서울특별시 강남구 도산대로55길 47,182.23,5,1,0,5
11170-6157,,지상,서울특별시 용산구 신흥로23길 2,105.52,2,1,0,1
11680-13611,,지상,서울특별시 강남구 삼성로134길 8,297.28,6,2,1,9
11680-13608,,지상,서울특별시 강남구 논현로2길 18,32.7,1,1,0,0
11680-22426,,지상,서울특별시 강남구 논현로154길 18,245.53,5,1,1,4
11650-100189208,,지상,서울특별시 서초구 강남대로 435,799.86,15,5,2,23
11680-22710,,지상,서울특별시 강남구 언주로153길 5,193.83,4,1,1,4
11680-3034,,지상,서울특별시 강남구 논현로153길 53,258.175,6,1,1,18
11650-13478,11650-308,지상,서울특별시 서초구 서초중앙로29길 28,0.0,3,1,0,0
11170-5591,,지상,서울특별시 용산구 신흥로7길 32,85.6,2,1,0,0
11170-5677,,지상,서울특별시 용산구 이태원로17길 23-8,94.76,2,1,0,0
11500-8196,,지상,서울특별시 강서구 강서로 24,199.3,4,1,0,4
11650-16881,,지상,서울특별시 서초구 서초대로58길 35-16,293.86,6,1,1,5
11650-17115,,지상,서울특별시 서초구 법원로1길 7,0.0,1,0,0,0
11650-2125,,지상,서울특별시 서초구 동광로1길 85-1,192.45,4,1,0,2
11650-2190,,지상,서울특별시 서초구 방배중앙로27길 9,158.34,3,1,0,2
11650-7905,,지상,서울특별시 서초구 강남대로30길 65,241.48,6,1,1,15
11740-5671,,지상,서울특별시 강동구 구천면로 255,209.48,4,1,0,0
11170-14975,,지상,서울특별시 용산구 한강대로15길 9,0.0,1,0,0,0
11170-14976,,지상,서울특별시 용산구 한강대로15길 9,0.0,3,0,0,0
11170-11096,,지상,서울특별시 용산구 새창로14길 38,0.0,2,0,0,0
11170-1817,,지상,서울특별시 용산구 보광로 74-1,66.5783,3,1,0,0
11170-11097,,지상,서울특별시 용산구 새창로14길 40,0.0,2,0,0,0
11170-20363,,지상,서울특별시 용산구 한강대로 137,0.0,2,0,0,0
11170-23676,,지상,서울특별시 용산구 이태원로17길 23-13,109.32,2,1,0,0
11170-24144,,지상,서울특별시 용산구 소월로38길 30-8,85.28,2,1,0,0
11170-25286,,지상,서울특별시 용산구 이촌로 105,131.54,4,1,0,16
11170-26497,,지상,서울특별시 용산구 녹사평대로40다길 3-3,144.45,3,1,0,2
11170-11637,,지상,서울특별시 용산구 녹사평대로40나길 32,140.47,3,1,0,2
11680-1000000000000001574363,,지상,서울특별시 강남구 테헤란로5길 51-6,83.84,2,2,0,7
11620-6865,,지상,서울특별시 관악구 남부순환로 1454,230.56,6,1,2,45
11740-100267035,11740-100264882,지상,서울특별시 강동구 고덕로79길 29,0.0,2,0,0,0
11350-5888,,지상,서울특별시 노원구 동일로237마길 30,195.5,4,0,0,7
11440-18231,,지상,서울특별시 마포구 독막로 92-13,171.53,3,1,0,2
11650-4291,,지상,서울특별시 서초구 방배로13길 34,0.0,3,1,0,3
11170-1000000000000001553518,,지상,서울특별시 용산구 효창원로16길 11,188.9827,4,1,1,2
11650-9379,,지상,서울특별시 서초구 강남대로10길 8,230.61,5,1,0,5
11110-5383,,지상,서울특별시 종로구 수표로 118,0.0,5,1,0,0
11440-20611,,지상,서울특별시 마포구 동교로 157-11,0.0,2,1,0,0
11680-100185547,,지상,서울특별시 강남구 강남대로 476,798.69,17,4,2,52
11110-8682,,지상,서울특별시 종로구 율곡로 259-4,0.0,1,0,0,0
11140-1000000000000001580720,,지상,서울특별시 중구 을지로42길 10-3,179.1,3,0,0,0
11440-10704,,지상,서울특별시 마포구 신촌로 174,389.93,9,1,1,19
11140-100234442,,지상,서울특별시 중구 만리재로 211,598.19,12,1,1,1
11140-10127,,지상,서울특별시 중구 동호로34길 18,0.0,3,0,0,0
11140-13024,,지상,서울특별시 중구 을지로 127,361.96,4,1,1,0
11140-19782,,지상,서울특별시 중구 동호로8길 17,0.0,1,0,0,0
11200-1000000000000001432842,,지상,서울특별시 성동구 뚝섬로1길 56,439.59,10,1,1,30
11650-100204392,11650-100204060,지상,서울특별시 서초구 신반포로 194,0.0,2,1,0,0
11650-100196789,,지상,서울특별시 서초구 강남대로8길 25,184.86,4,0,1,4
11200-19976,,지상,서울특별시 성동구 성덕정길 140,0.0,2,1,0,0
11200-21371,,지상,서울특별시 성동구 연무장길 21,0.0,3,1,0,0
11680-100222637,,지상,서울특별시 강남구 영동대로86길 28,199.53,5,1,1,7
11620-9377,,지상,서울특별시 관악구 남부순환로 1631-1,305.6705,7,1,0,5
11620-9386,,지상,서울특별시 관악구 관악로 201,173.32,3,1,0,3
11200-6180,,지상,서울특별시 성동구 청계천로10가길 72-30,190.73,4,1,0,3
11560-1000000000000000382330,,지상,서울특별시 영등포구 양평로 144,399.434,11,1,1,41
11680-100212406,,지상,서울특별시 강남구 도산대로15길 45,134.63,3,1,0,2
11680-1000000000000001381729,,지상,서울특별시 강남구 도산대로92길 32,232.101,6,1,1,3
11680-1000000000000001327402,,지상,서울특별시 강남구 봉은사로47길 18,199.97,5,1,1,6
11680-5072,,지상,서울특별시 강남구 선릉로155길 12,229.23,5,2,1,14
11680-1000000000000001103765,,지상,서울특별시 강남구 도산대로49길 41,149.99,4,1,1,4
11650-1000000000000001500128,,지상,서울특별시 서초구 남부순환로 2614-10,499.96,10,1,1,7
11650-14759,,지상,서울특별시 서초구 남부순환로337가길 3-3,199.57,4,0,0,4
11680-100296403,,지상,서울특별시 강남구 삼성로100길 12,249.84,7,2,1,40
11620-12637,,지상,서울특별시 관악구 관천로 49,56.11,1,1,0,0
11140-7581,,지상,서울특별시 중구 퇴계로 210-27,321.5911,5,1,1,0
11620-25189,,지상,서울특별시 관악구 신사로20길 9,181.92,4,1,0,5
11620-26077,,지상,서울특별시 관악구 남부순환로 1844,245.57,5,1,0,7
11620-31525,,지상,서울특별시 관악구 남부순환로 1946,249.85,5,0,0,2
11620-4950,,지상,서울특별시 관악구 남부순환로 1730,0.0,4,1,0,9
11500-12926,,지상,서울특별시 강서구 강서로45나길 12,145.13,4,1,0,13
11215-13616,,지상,서울특별시 광진구 자양로 181-1,200.93,3,1,0,0
11215-12050,,지상,서울특별시 광진구 구의강변로 85,243.48,7,1,1,3
11215-13912,11215-100181547,지상,서울특별시 광진구 뚝섬로67길 9,0.0,4,1,0,2
11215-13920,,지상,서울특별시 광진구 뚝섬로67길 5,255.29,5,1,0,5
11215-17210,,지상,서울특별시 광진구 뚝섬로 523,192.85,4,1,0,4
11215-20885,,지상,서울특별시 광진구 아차산로34길 18,0.0,2,0,0,0
11215-2709,,지상,서울특별시 광진구 용마산로 6-5,138.1,3,1,0,4
11740-6431,,지상,서울특별시 강동구 고덕로83길 42,0.0,3,1,0,2
11590-28392,,지상,서울특별시 동작구 흑석로 101-10,169.32,4,1,0,4
11590-28267,,지상,서울특별시 동작구 동작대로7길 16,0.0,3,1,0,0
11440-23950,,지상,서울특별시 마포구 포은로 52,0.0,3,1,0,0
11230-1000000000000001237415,11230-1000000000000001559566,지상,서울특별시 동대문구 망우로 46,11.1,3,0,0,0
11230-1000000000000001237432,11230-1000000000000001559566,지상,서울특별시 동대문구 망우로 46,16.33,1,0,0,0
11380-10535,,지상,서울특별시 은평구 통일로80길 8,0.0,4,1,0,0
11560-25560,,지상,서울특별시 영등포구 대방천로 146,0.0,5,1,0,3
11590-30585,,지상,서울특별시 동작구 서달로12가길 15,143.13,3,0,0,0
11590-28853,,지상,서울특별시 동작구 남부순환로269길 22,0.0,3,1,0,0
11560-34857,,지상,서울특별시 영등포구 디지털로 349,0.0,4,1,0,0
11560-5937,,지상,서울특별시 영등포구 양산로 193,0.0,4,1,0,4
11560-3609,,지상,서울특별시 영등포구 국회대로54길 45,53.03,1,0,0,0
11560-18402,,지상,서울특별시 영등포구 영등포로 347,794.09,15,2,1,24
11560-22765,,지상,서울특별시 영등포구 도신로 94,0.0,5,1,0,5
11560-25236,,지상,서울특별시 영등포구 신풍로 23,225.26,5,1,1,8
11560-6270,,지상,서울특별시 영등포구 국회대로56길 15-3,0.0,2,1,0,0
11560-4865,,지상,서울특별시 영등포구 경인로 831,147.22,2,0,0,0
11590-100188952,,지상,서울특별시 동작구 상도로 21,249.8555,6,0,1,10
11560-14117,,지상,서울특별시 영등포구 영등포로30길 20,155.58,3,1,0,0
11560-14610,,지상,서울특별시 영등포구 도림로141가길 36,0.0,1,0,0,0
11560-15494,,지상,서울특별시 영등포구 선유로22길 10-1,0.0,3,1,0,0
11530-24558,,지상,서울특별시 구로구 가마산로 167,128.17,3,1,1,7
11230-18298,,지상,서울특별시 동대문구 휘경로 7,0.0,4,1,0,0
11440-28419,,지상,서울특별시 마포구 동교로 242-6,128.0,3,0,0,0
11230-100186705,,지상,서울특별시 동대문구 왕산로 16,768.94,17,2,1,12
11230-11950,,지상,서울특별시 동대문구 한천로 186,0.0,3,1,0,0
11230-19212,,지상,서울특별시 동대문구 왕산로 211,340.38,4,0,0,0
11230-6845,,지상,서울특별시 동대문구 답십리로23나길 28-1,0.0,1,0,0,0
11230-8471,,지상,서울특별시 동대문구 무학로44길 20,0.0,3,1,0,2
11230-25397,,지상,서울특별시 동대문구 제기로 82-1,0.0,1,0,0,0
11230-31096,,지상,서울특별시 동대문구 이문로54길 46,0.0,3,0,0,11
11230-33376,,지상,서울특별시 동대문구 천호대로16길 18,0.0,1,0,0,0
11230-36335,,지상,서울특별시 동대문구 휘경로 9-5,0.0,1,1,0,0
11140-22615,,지상,서울특별시 중구 마장로5길 35,0.0,3,0,0,0
11230-9649,,지상,서울특별시 동대문구 신이문로 27-7,0.0,4,1,0,0
11230-9697,,지상,서울특별시 동대문구 왕산로19가길 10,0.0,2,1,0,0
11260-15617,,지상,서울특별시 중랑구 동일로 708,178.4,3,1,0,0
11440-19229,,지상,서울특별시 마포구 와우산로 125,199.08,6,1,0,9
11440-19415,,지상,서울특별시 마포구 월드컵북로1길 20,213.53,5,1,0,4
11260-17670,,지상,서울특별시 중랑구 봉화산로 96,199.15,4,1,0,0
11260-30578,,지상,서울특별시 중랑구 용마산로125가길 27,59.63,1,0,0,0
11260-30579,,지상,서울특별시 중랑구 용마산로129나길 61,148.83,3,1,0,7
11440-22238,,지상,서울특별시 마포구 신촌로 48,0.0,4,1,0,0
11290-13559,,지상,서울특별시 성북구 고려대로24길 44,287.49,6,1,1,7
11290-20177,,지상,서울특별시 성북구 정릉로 164,77.63,1,0,0,0
11290-29602,11290-100120699,지상,서울특별시 성북구 오패산로 98-8,0.0,4,1,0,0
11290-23581,,지상,서울특별시 성북구 동소문로 295,203.12,5,2,1,19
11290-25595,,지상,서울특별시 성북구 월곡로 53-1,0.0,1,0,0,0
11290-30111,,지상,서울특별시 성북구 오패산로3길 139,0.0,2,1,0,0
11290-3305,,지상,서울특별시 성북구 성북로6길 8-2,161.34,3,1,0,0
11290-36849,,지상,서울특별시 성북구 장월로23길 46,0.0,2,1,0,0
11290-11259,,지상,서울특별시 성북구 동소문로 111,127.46,3,1,0,5
11290-4389,,지상,서울특별시 성북구 성북로 19,139.48,3,1,0,2
11305-1000000000000001500053,,지상,서울특별시 강북구 삼양로77길 62,198.35,4,1,1,4
11305-27562,,지상,서울특별시 강북구 노해로 108,115.67,2,1,0,0
11305-2098,,지상,서울특별시 강북구 월계로3길 66-15,0.0,1,0,0,0
11305-21614,,지상,서울특별시 강북구 도봉로83길 21,148.94,3,0,0,0
11305-4103,,지상,서울특별시 강북구 도봉로76길 19,140.62,3,1,0,2
11320-1000000000000001247474,,지상,서울특별시 도봉구 도봉로 635,50.1997,2,0,0,3
11320-1000000000000001572212,,지상,서울특별시 도봉구 덕릉로60자길 7,199.86,5,0,1,3
11320-14554,,지상,서울특별시 도봉구 도봉로 875,102.63,2,1,0,0
11320-1586,,지상,서울특별시 도봉구 도봉로 443,190.4,4,1,0,4
11320-11673,,지상,서울특별시 도봉구 도봉로104길 61-27,199.63,4,1,0,5
11320-8142,,지상,서울특별시 도봉구 도당로 148,205.97,4,1,0,3
11380-100189054,,지상,서울특별시 은평구 백련산로 29,191.0,4,0,0,3
11380-100240792,,지상,서울특별시 은평구 갈현로 36,199.83,5,0,1,4
11380-100285034,,지상,서울특별시 은평구 불광로 15,141.16,3,0,1,7
11380-15472,,지상,서울특별시 은평구 연서로17길 18-3,118.48,2,0,0,0
11380-19311,,지상,서울특별시 은평구 불광로 11,0.0,1,0,0,0
11380-19348,,지상,서울특별시 은평구 불광로 28,0.0,1,0,0,0
11380-19381,,지상,서울특별시 은평구 통일로 715-6,0.0,1,0,0,0
11380-2152,,지상,서울특별시 은평구 수색로 270,0.0,3,1,0,0
11380-22400,,지상,서울특별시 은평구 은평로20길 6,192.39,4,1,0,4
11380-25269,,지상,서울특별시 은평구 응암로14길 14,167.2,4,1,0,5
11380-26130,,지상,서울특별시 은평구 응암로22길 7,0.0,4,1,0,0
11380-3803,,지상,서울특별시 은평구 은평로 203-6,0.0,1,0,0,0
11380-3875,11380-702,지상,서울특별시 은평구 서오릉로 20,0.0,2,1,0,0
11380-40061,,지상,서울특별시 은평구 연서로54길 117,15.0,1,0,0,0
11380-4255,11380-774,지상,서울특별시 은평구 통일로 684,0.0,2,0,0,0
11380-2987,11380-732,,녹번동 14-4,0.0,1,0,0,0
11380-2988,11380-732,,녹번동 14-4,0.0,1,0,0,0
11380-35076,,지상,서울특별시 은평구 증산로15나길 1-1,0.0,1,0,0,0
11380-3581,,지상,서울특별시 은평구 통일로 631-1,0.0,2,1,0,0
11380-34638,,지상,서울특별시 은평구 증산로21길 22,198.31,4,1,0,2
11380-3690,11380-822,지상,서울특별시 은평구 통일로 586-37,0.0,1,0,0,0
11380-14821,,지상,서울특별시 은평구 갈현로41길 6,0.0,1,0,0,0
11410-9106,,지상,서울특별시 서대문구 통일로37길 18,203.58,5,2,0,16
11410-5227,,지상,서울특별시 서대문구 북아현로 61,0.0,5,1,0,5
11410-29874,,지상,서울특별시 서대문구 증가로10길 60-22,239.4,4,1,0,5
11410-11400,11410-100181764,지상,서울특별시 서대문구 성산로 531,0.0,3,1,0,0
11410-11401,11410-100181764,지상,서울특별시 서대문구 성산로 531,0.0,3,1,0,0
11410-11402,11410-100181764,지상,서울특별시 서대문구 성산로 531,0.0,3,1,0,0
11410-10046,,지상,서울특별시 서대문구 통일로 413,385.37,7,3,2,86
11410-19000,,지상,서울특별시 서대문구 홍은중앙로 91,279.58,6,1,0,5
11410-22692,,지상,서울특별시 서대문구 증가로20나길 2,222.17,4,1,0,6
11440-1000000000000000824145,,지상,서울특별시 마포구 와우산로11길 5-4,196.85,4,1,1,3
11440-1000000000000000921677,,지상,서울특별시 마포구 월드컵로8길 53,198.85,5,0,1,3
11590-6933,,지상,서울특별시 동작구 상도로 82,325.19,7,1,0,28
11440-100281343,,지상,서울특별시 마포구 와우산로19길 19,199.88,4,1,1,4
11440-10968,11440-1578,지상,서울특별시 마포구 고산길 158,0.0,3,1,0,0
11440-1000000000000001441299,,지상,서울특별시 마포구 성미산로17길 47,179.1,3,0,0,0
11440-1000000000000001490001,,지상,서울특별시 마포구 월드컵북로 13,249.99,8,2,1,24
11440-100197093,,지상,서울특별시 마포구 독막로 87,100.47,3,0,0,0
11590-4485,11590-906,지상,서울특별시 동작구 현충로 148,18.14,1,0,0,0
11440-100216969,,지상,서울특별시 마포구 동교로17안길 47,199.33,5,0,1,6
11290-30215,,지상,서울특별시 성북구 동소문로44길 38,0.0,3,1,0,0
11680-11286,,지상,서울특별시 강남구 도곡로 213,178.94,4,1,0,2
11440-13747,,지상,서울특별시 마포구 토정로37길 41,299.74,6,1,1,20
11140-100207674,,지상,서울특별시 중구 퇴계로36가길 10,228.56,4,3,1,63
11440-23215,,지상,서울특별시 마포구 양화진2길 13,207.68,5,2,0,0
11440-23996,,지상,서울특별시 마포구 양화로1길 75,178.57,3,1,0,2
11440-26121,,지상,서울특별시 마포구 방울내로 40,0.0,5,1,0,0
11440-27961,,지상,서울특별시 마포구 성미산로 184,0.0,4,1,0,0
11110-14572,,지상,서울특별시 종로구 종로 84,354.11,4,0,1,0
11200-100231097,,지상,서울특별시 성동구 성수이로7길 30,357.84,8,1,1,7
11440-20035,,지상,서울특별시 마포구 양화로7안길 9,0.0,2,1,0,0
11440-20242,11440-1067,지상,서울특별시 마포구 독막로7길 57,73.55,2,1,0,0
11440-20243,11440-1067,지상,서울특별시 마포구 독막로7길 57,4.35,1,0,0,0
11440-20976,11440-101995703,지상,서울특별시 마포구 월드컵로14길 45-9,141.44,4,1,0,0
11440-21774,,지상,서울특별시 마포구 양화로23길 10-14,166.07,3,0,0,0
11440-21924,,지상,서울특별시 마포구 양화로 151,393.8,8,3,2,35
11740-100210902,,지상,서울특별시 강동구 고덕로 168,102.73,3,0,0,4
11140-8289,,지상,서울특별시 중구 필동로 69,191.28,3,1,0,8
11500-7927,,지상,서울특별시 강서구 남부순환로19길 5,40.36,2,0,0,2
11440-8542,,지상,서울특별시 마포구 임정로11길 20,182.56,4,1,0,4
11710-19751,,지상,서울특별시 송파구 마천로51가길 29,182.26,4,1,0,0
11710-19975,,지상,서울특별시 송파구 석촌호수로 134,0.0,4,1,0,0
11215-21131,,지상,자양동 11-10,0.0,3,1,0,0
11710-22244,,지상,서울특별시 송파구 올림픽로 378,339.76,8,1,1,14
11710-4433,,지상,서울특별시 송파구 백제고분로27길 39-6,253.63,4,1,0,6
11710-12763,,지상,서울특별시 송파구 마천로51길 37,0.0,2,0,0,0
11710-3641,,지상,서울특별시 송파구 오금로 483,268.33,6,2,1,10
11710-3570,,지상,서울특별시 송파구 바람드리길 38,0.0,1,0,0,0
11710-24990,,지상,서울특별시 송파구 동남로24길 7,223.9,5,1,1,10
11740-2992,11740-49,지상,서울특별시 강동구 천호대로158길 9,0.0,3,1,0,0
11710-11371,,지상,서울특별시 송파구 토성로15길 3-3,194.03,4,1,0,5
11530-100202940,,지상,서울특별시 구로구 천왕로 32,399.64,8,2,2,40
11470-16974,,지상,서울특별시 양천구 중앙로 237,316.44,7,2,2,0
11530-11937,,지상,구로동 169-4,0.0,2,1,0,0
11470-1480,11470-1000000000000001551184,지상,서울특별시 양천구 목동동로 10,0.0,2,1,0,0
11440-1000000000000001503017,,지상,서울특별시 마포구 월드컵로11길 46,199.1,4,0,1,2
11260-20084,,지상,서울특별시 중랑구 중랑역로 15,244.96,6,1,0,7
11470-6131,,지상,서울특별시 양천구 화곡로 91,0.0,4,1,0,0
11470-8438,,지상,서울특별시 양천구 남부순환로36길 2,199.1,4,1,0,3
11470-8639,,지상,서울특별시 양천구 오목로 77,174.95,4,1,0,4
