관리_건축물대장_PK,관리_상위_건축물대장_PK,새주소_지상지하_코드,주소,동명칭,호_명,층_구분_코드_x,층_구분_코드_y,층_번호,면적
11710-100213579,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,501,지상,40.0,0,0.9683
11710-100213577,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,403,지상,10.0,1,5.1204
11710-100213587,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,701,지상,10.0,1,3.5535
11710-100213586,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,604,지상,40.0,0,1.2412
11710-100213576,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,402,지상,40.0,0,1.2866
11710-100213575,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,401,지상,10.0,1,3.6081
11710-100213573,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,303,지상,40.0,0,1.2602
11710-100216803,11710-100216773,지상,서울특별시 송파구 올림픽로 99,155동,802,지상,40.0,0,10.25
11710-100216798,11710-100216773,지상,서울특별시 송파구 올림픽로 99,155동,701,지상,20.0,1,38.76
11710-100213585,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,603,지상,10.0,1,4.9394
11710-100213584,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,602,지상,10.0,1,5.4616
11710-100213583,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,601,지상,10.0,1,3.9292
11710-100213582,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,504,지상,40.0,0,1.3724
11710-100213578,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,404,지상,10.0,1,3.6838
11710-100213581,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,503,지상,10.0,1,2.7723
11710-100213580,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,502,지상,10.0,1,3.8535
11710-100213570,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,204,지상,40.0,0,1.3979
11710-100213571,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,301,지상,10.0,1,5.5535
11710-100213572,11710-100213566,지상,서울특별시 송파구 올림픽로 99,119동,302,지상,10.0,1,3.995
11500-100202761,11500-100181904,지상,서울특별시 강서구 수명로 68-11,발산타워,202호,지상,40.0,0,6.4
11500-100202760,11500-100181904,지상,서울특별시 강서구 수명로 68-11,발산타워,201호,지상,40.0,0,19.57
11545-100185691,11545-100185625,지상,서울특별시 금천구 가산디지털1로 226,에이스하이엔드타워5,1501,지상,10.0,3,1.944
11710-100213878,11710-100213841,지상,서울특별시 송파구 올림픽로 99,110동,1901,지상,40.0,0,0.3593
11680-58613,11680-4242,지상,서울특별시 강남구 언주로 427,,1812호,지상,40.0,0,53.61
11500-100198348,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,A-1708호,지상,20.0,1,49.0
11545-100186650,11545-100186589,지상,서울특별시 금천구 가산디지털1로 83,,205,지상,40.0,0,83.155
11545-100186656,11545-100186589,지상,서울특별시 금천구 가산디지털1로 83,,204,지상,40.0,0,83.155
11680-35450,11680-2164,지상,서울특별시 강남구 남부순환로 2803,108,2001호,지상,40.0,0,28.59
11680-51237,11680-1672,지상,서울특별시 강남구 삼성로 212,17,1207호,지상,40.0,0,22.36
11710-100212780,11710-100212760,지상,서울특별시 송파구 올림픽로 99,116동,604,지상,10.0,1,32.44
11710-100222238,11710-100222107,지상,서울특별시 송파구 올림픽로 435,229동,3303,지상,40.0,0,2.79
11710-100232443,11710-100232437,지상,서울특별시 송파구 백제고분로42길 13-15,,402,지상,40.0,0,4.14
11680-48507,11680-1510,지상,서울특별시 강남구 압구정로 151,101,702호,지상,20.0,4,48.49
11710-100219674,11710-100219672,지상,서울특별시 송파구 올림픽로 435,115동,102,지상,20.0,1,33.0
11680-47890,11680-1474,지상,서울특별시 강남구 압구정로 113,21,1003호,지상,20.0,1,74.82
11500-100196962,11500-100196933,지상,서울특별시 강서구 수명로 78,,902호,지상,10.0,2,35.12
11500-100196965,11500-100196933,지상,서울특별시 강서구 수명로 78,,1003호,지상,40.0,0,20.12
11500-100196964,11500-100196933,지상,서울특별시 강서구 수명로 78,,1001호,지상,10.0,2,35.12
11500-100196955,11500-100196933,지상,서울특별시 강서구 수명로 78,,701호,지상,10.0,1,7.98
11500-100196956,11500-100196933,지상,서울특별시 강서구 수명로 78,,703호,지상,10.0,1,31.7
11500-100196957,11500-100196933,지상,서울특별시 강서구 수명로 78,,702호,지상,40.0,0,18.15
11500-100196959,11500-100196933,지상,서울특별시 강서구 수명로 78,,803호,지상,10.0,1,31.69
11500-100196960,11500-100196933,지상,서울특별시 강서구 수명로 78,,802호,지상,10.0,1,8.84
11500-100196954,11500-100196933,지상,서울특별시 강서구 수명로 78,,603호,지상,40.0,0,18.16
11500-100196958,11500-100196933,지상,서울특별시 강서구 수명로 78,,801호,지상,10.0,2,7.98
11500-100196961,11500-100196933,지상,서울특별시 강서구 수명로 78,,901호,지상,40.0,0,20.12
11500-100196941,11500-100196933,지상,서울특별시 강서구 수명로 78,,201호,지상,10.0,1,29.44
11500-100196963,11500-100196933,지상,서울특별시 강서구 수명로 78,,903호,지상,10.0,1,8.84
11500-100196947,11500-100196933,지상,서울특별시 강서구 수명로 78,,402호,지상,10.0,2,29.44
11500-100196939,11500-100196933,지상,서울특별시 강서구 수명로 78,,105호,지상,40.0,0,16.87
11500-100196934,11500-100196933,지상,서울특별시 강서구 수명로 78,,103호,지상,10.0,2,29.44
11500-100196940,11500-100196933,지상,서울특별시 강서구 수명로 78,,202호,지상,10.0,1,7.41
11500-100196952,11500-100196933,지상,서울특별시 강서구 수명로 78,,601호,지상,40.0,0,18.16
11500-100196935,11500-100196933,지상,서울특별시 강서구 수명로 78,,104호,지상,10.0,1,7.41
11500-100196936,11500-100196933,지상,서울특별시 강서구 수명로 78,,106호,지상,10.0,1,7.41
11500-100196937,11500-100196933,지상,서울특별시 강서구 수명로 78,,102호,지상,40.0,0,16.87
11500-100196938,11500-100196933,지상,서울특별시 강서구 수명로 78,,101호,지상,10.0,2,29.44
11500-100196943,11500-100196933,지상,서울특별시 강서구 수명로 78,,302호,지상,10.0,2,29.44
11500-100196946,11500-100196933,지상,서울특별시 강서구 수명로 78,,401호,지상,40.0,0,16.87
11500-100196966,11500-100196933,지상,서울특별시 강서구 수명로 78,,1002호,지상,40.0,0,20.12
11500-100196953,11500-100196933,지상,서울특별시 강서구 수명로 78,,602호,지상,10.0,2,31.7
11500-100196951,11500-100196933,지상,서울특별시 강서구 수명로 78,,503호,지상,10.0,1,7.98
11500-100196944,11500-100196933,지상,서울특별시 강서구 수명로 78,,303호,지상,40.0,0,16.87
11500-100196942,11500-100196933,지상,서울특별시 강서구 수명로 78,,203호,지상,10.0,1,7.41
11500-100196945,11500-100196933,지상,서울특별시 강서구 수명로 78,,301호,지상,10.0,1,7.41
11500-100196950,11500-100196933,지상,서울특별시 강서구 수명로 78,,501호,지상,10.0,1,7.98
11500-100196949,11500-100196933,지상,서울특별시 강서구 수명로 78,,502호,지상,10.0,2,31.7
11500-100196948,11500-100196933,지상,서울특별시 강서구 수명로 78,,403호,지상,40.0,0,18.16
11710-100217372,11710-100217359,지상,서울특별시 송파구 올림픽로 435,309동,401,지상,20.0,1,9.54
11710-100217373,11710-100217359,지상,서울특별시 송파구 올림픽로 435,309동,402,지상,20.0,2,25.61
11710-100217432,11710-100217359,지상,서울특별시 송파구 올림픽로 435,309동,1901,지상,20.0,1,9.54
11710-100217433,11710-100217359,지상,서울특별시 송파구 올림픽로 435,309동,1902,지상,20.0,2,25.61
11710-100222059,11710-100222040,지상,서울특별시 송파구 올림픽로 435,222동,1001,지상,20.0,0,25.24
11710-100217416,11710-100217359,지상,서울특별시 송파구 올림픽로 435,309동,1501,지상,20.0,1,18.27
11710-100217417,11710-100217359,지상,서울특별시 송파구 올림픽로 435,309동,1502,지상,20.0,2,49.09
11500-100193816,11500-100193455,지상,서울특별시 강서구 강서로 266,136동,1703호,지상,20.0,1,62.11
11500-100198537,11500-100198533,지상,서울특별시 강서구 공항대로48길 48,은하위너빌,301호,지상,10.0,0,39.75
11500-100202519,11500-100202514,지상,서울특별시 강서구 화곡로58길 51,,302호,지상,40.0,0,6.2
11500-100202521,11500-100202514,지상,서울특별시 강서구 화곡로58길 51,,402호,지상,40.0,0,6.2
11500-100202523,11500-100202514,지상,서울특별시 강서구 화곡로58길 51,,502호,지상,40.0,0,4.75
11500-100217009,11500-100217006,지상,서울특별시 강서구 초록마을로24길 1-13,,301,지상,20.0,1,43.26
11500-100227633,11500-100227610,지상,서울특별시 강서구 공항대로46길 28,101동,1901,지상,20.0,1,183.24
11680-58626,11680-4242,지상,서울특별시 강남구 언주로 427,,2010호,지상,40.0,0,9.86
11560-1000000000000000087690,11560-1000000000000000086659,지상,서울특별시 영등포구 버드나루로 59,,1804,지상,10.0,1,0.296
11680-42979,11680-1318,지상,서울특별시 강남구 논현로 218,1,803호,지상,20.0,5,143.22
11710-100212566,11710-100212519,지상,서울특별시 송파구 올림픽로 99,107동,1203,지상,40.0,0,12.6856
11680-48512,11680-1510,지상,서울특별시 강남구 압구정로 151,101,802호,지상,20.0,4,5.84
11680-48682,11680-1514,지상,서울특별시 강남구 압구정로 151,111,602호,지상,10.0,2,3.36
11680-48686,11680-1514,지상,서울특별시 강남구 압구정로 151,111,902호,지상,10.0,2,3.46
11500-100196909,11500-100196904,지상,서울특별시 강서구 초록마을로28길 9-5,그린나래빌라트,401호,지상,40.0,0,16.86
11500-100198268,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,A-1310호,지상,10.0,0,13.8391
11500-100198267,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,A-1311호,지상,40.0,0,33.5796
11710-100224894,11710-100224773,지상,서울특별시 송파구 양재대로72길 5,,102동 1503호,지상,20.0,1,2.53
11680-58588,11680-2369,지상,서울특별시 강남구 테헤란로79길 42,102동,702,지상,40.0,0,31.1
11500-100196906,11500-100196904,지상,서울특별시 강서구 초록마을로28길 9-5,그린나래빌라트,202호,지상,40.0,0,16.86
11500-100196907,11500-100196904,지상,서울특별시 강서구 초록마을로28길 9-5,그린나래빌라트,301호,지상,10.0,2,7.4
11500-100196905,11500-100196904,지상,서울특별시 강서구 초록마을로28길 9-5,그린나래빌라트,201호,지상,10.0,1,29.44
11500-100196908,11500-100196904,지상,서울특별시 강서구 초록마을로28길 9-5,그린나래빌라트,302호,지상,10.0,1,29.43
11680-30826,11680-1750,지상,서울특별시 강남구 삼성로4길 17,503,1307호,지상,40.0,0,0.08
11500-100195620,11500-100195614,지상,서울특별시 강서구 초록마을로 102,다나네스트빌,303호,지상,10.0,1,15.845
11500-100202708,11500-100202703,지상,서울특별시 강서구 화곡로52길 30,만선빌딩,501호,지상,40.0,0,51.66
11500-100202707,11500-100202703,지상,서울특별시 강서구 화곡로52길 30,만선빌딩,401호,지상,40.0,0,9.18
11680-48671,11680-1514,지상,서울특별시 강남구 압구정로 151,111,904호,지상,20.0,1,2.41
11710-100222188,11710-100222107,지상,서울특별시 송파구 올림픽로 435,229동,2101,지상,40.0,0,10.38
11710-100223648,11710-100223550,지상,서울특별시 송파구 올림픽로 435,227동,2502,지상,40.0,0,17.7678
11545-100185687,11545-100185625,지상,서울특별시 금천구 가산디지털1로 226,에이스하이엔드타워5,1401,지상,40.0,0,9.463
11560-1000000000000000087676,11560-1000000000000000086659,지상,서울특별시 영등포구 버드나루로 59,,1602,지상,10.0,0,226.795
11500-100205838,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1304,지상,20.0,2,20.72
11500-100205847,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1501,지상,10.0,1,0.82
11500-100205837,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1303,지상,20.0,2,18.42
11500-100205846,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1404,지상,10.0,1,15.76
11500-100205845,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1407,지상,20.0,3,32.47
11500-100205844,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1406,지상,20.0,3,20.93
11500-100205843,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1405,지상,20.0,3,2.55
11500-100205836,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1302,지상,20.0,2,48.46
11500-100205842,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1403,지상,20.0,3,18.61
11500-100205841,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1408,지상,20.0,3,48.93
11500-100205840,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1409,지상,20.0,2,2.53
11500-100205839,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1410,지상,20.0,2,32.14
11500-100205833,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1309,지상,20.0,4,127.36
11500-100205832,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1310,지상,20.0,4,103.76
11500-100205831,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1307,지상,20.0,1,99.72
11500-100205830,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1306,지상,10.0,1,79.19
11500-100205829,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1301,지상,20.0,3,245.78
11500-100205828,11500-100205719,지상,서울특별시 강서구 화곡로 274,크라운뷰,1202,지상,20.0,2,243.32
11500-100196720,11500-100196673,지상,서울특별시 강서구 강서로47마길 15,수명산 태송팰리채,802,지상,20.0,5,53.87
11740-1000000000000000407974,11740-1000000000000000407944,지상,서울특별시 강동구 고덕로98길 85,,503,지상,20.0,5,6.19
11740-1000000000000000407948,11740-1000000000000000407944,지상,서울특별시 강동구 고덕로98길 85,,102,지상,20.0,5,17.29
11710-100212614,11710-100212519,지상,서울특별시 송파구 올림픽로 99,107동,2403,지상,40.0,0,10.8678
11710-100218410,11710-100218406,지상,서울특별시 송파구 올림픽로 435,314동,2103,지상,40.0,0,1.68
11710-100231496,11710-100231477,지상,서울특별시 송파구 풍성로25나길 16-1,,403,지상,10.0,6,3.07
11710-100221556,11710-100221506,지상,서울특별시 송파구 올림픽로 435,104동,1303,지상,20.0,4,140.69
11740-1000000000000000407964,11740-1000000000000000407944,지상,서울특별시 강동구 고덕로98길 85,,301,지상,20.0,4,5.95
11740-1000000000000000407959,11740-1000000000000000407944,지상,서울특별시 강동구 고덕로98길 85,,205,지상,20.0,5,20.65
11680-48496,11680-1510,지상,서울특별시 강남구 압구정로 151,101,404호,지상,20.0,2,8.69
11740-1000000000000000407953,11740-1000000000000000407944,지상,서울특별시 강동구 고덕로98길 85,,107,지상,20.0,5,0.13
11710-100223716,11710-100223671,지상,서울특별시 송파구 올림픽로 435,214동,902,지상,40.0,0,3.0304
11710-100223549,11710-100223485,지상,서울특별시 송파구 올림픽로 435,218동,3202,지상,20.0,0,32.4994
11710-100222849,11710-100222813,지상,서울특별시 송파구 올림픽로 435,307동,2001,지상,20.0,2,65.3281
11500-100198277,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,A-1307호,지상,10.0,0,79.2021
11500-100198276,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,A-1306호,지상,10.0,0,10.0882
11500-100198273,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,A-1308호,지상,10.0,0,54.2335
11500-100198259,11500-100197873,지상,서울특별시 강서구 양천로 583,우림 블루나인 비즈니스센터,A-1309호,지상,40.0,0,7.4857
