건축물대장 관리번호,용적율,지상층수,지하층수,승강기 수,주차 대수
11290-30531,303.68,5,1,0,2
11290-33475,234.85,4,1,0,4
11110-15872,0.0,3,1,0,0
11110-15228,119.27,2,1,0,1
11290-34575,198.19,4,0,0,2
11290-34856,235.09,4,1,0,6
11110-18082,0.0,5,1,0,0
11110-100215845,386.54,8,1,1,5
11110-26753,58.6,1,0,0,0
11140-18264,0.0,4,0,0,0
11110-23791,0.0,1,0,0,0
11110-11928,0.0,3,1,0,0
11110-11626,0.0,4,0,0,0
11290-43328,124.17,2,1,0,0
11290-43671,236.02,4,1,0,4
11140-25199,0.0,3,0,0,0
11140-10067,0.0,1,0,0,0
11140-1000000000000000758218,417.05,7,4,1,2
11140-3663,0.0,5,1,0,0
11140-11914,373.06,4,0,0,0
11110-7875,0.0,1,0,0,0
11140-11855,0.0,1,1,0,0
11320-6801,236.98,6,1,1,16
11410-11982,249.63,9,2,1,37
11140-7566,0.0,4,0,0,0
11215-22169,199.24,4,1,0,4
11320-8249,50.73,1,1,0,0
11170-17265,241.11,5,1,0,4
11440-21895,240.43,5,1,0,8
11380-14309,0.0,2,1,0,0
11140-17575,211.55,4,1,0,0
11140-20061,0.0,2,0,0,0
11140-20856,0.0,3,0,0,0
11110-100205527,371.84,5,0,0,0
11260-100184639,209.15,5,1,0,0
11170-100218079,107.9885,3,0,0,0
11440-25721,144.68,3,1,0,0
11110-2464,0.0,3,0,0,0
11380-5243,0.0,3,1,0,0
11380-6053,148.75,3,1,0,0
11260-100248239,148.6,3,1,1,13
11170-15308,122.77,2,0,0,0
11110-100188624,166.5,3,0,0,0
11140-17666,0.0,6,1,0,0
11215-24810,0.0,4,1,0,4
11110-17342,0.0,3,0,0,0
11170-5437,0.0,1,0,0,0
11110-1954,0.0,1,0,0,0
11290-100213873,214.02,5,0,0,4
11440-30482,39.91,1,0,0,0
11170-16981,224.96,5,1,0,2
11110-21382,268.01,4,1,0,0
11215-26693,0.0,3,1,0,0
11110-6167,183.97,4,1,0,0
11410-11901,245.44,4,1,0,0
11200-1000000000000000720875,59.12,1,0,0,0
11260-100183298,233.14,6,0,1,5
11380-31183,96.56,2,1,0,1
11110-17739,116.42,3,2,1,0
11230-18623,189.21,4,1,0,6
11140-2652,148.6289,2,0,0,0
11140-100235946,199.48,4,1,1,13
11230-29246,208.05,4,1,0,1
11140-12946,0.0,1,0,0,0
11110-2903,0.0,2,0,0,0
11650-19103,73.51,2,0,0,2
11140-13737,0.0,4,1,0,0
11110-22939,0.0,1,0,0,0
11500-15426,144.06,3,1,0,0
11110-100210045,378.0565,5,1,1,2
11140-16439,0.0,1,0,0,0
11290-15832,0.0,1,0,0,0
11110-19181,41.05,1,1,0,4
11110-3754,342.67,5,1,0,0
11140-15362,183.31,4,0,0,2
11290-15890,184.07,4,1,0,4
11110-100190232,199.63,5,1,1,3
11440-100253644,184.88,4,1,0,2
11290-16854,160.62,3,0,0,0
11140-8922,0.0,3,1,0,0
11530-7327,0.0,3,0,0,0
11290-18557,237.43,4,1,1,3
11140-9994,0.0,1,0,0,0
11290-16607,224.43,5,1,0,5
11140-20046,289.22,5,2,1,11
11110-1617,0.0,5,1,0,0
11440-100270723,187.0,4,0,0,1
11170-11343,0.0,2,0,0,0
11530-8509,0.0,2,1,0,0
11290-21549,222.7,4,0,1,4
11500-26531,147.6,3,1,0,1
11290-20174,88.39,3,1,0,0
11110-9727,0.0,4,0,0,0
11140-20650,194.66,5,1,0,5
11110-14257,0.0,1,0,0,0
11200-6426,0.0,1,0,0,0
11110-15320,0.0,1,0,0,0
11200-6460,0.0,2,1,0,0
11200-9555,0.0,1,0,0,0
11110-15813,294.12,4,1,0,0
11320-1264,0.0,2,1,0,0
11380-35098,0.0,1,0,0,0
11110-19247,0.0,3,1,0,0
11290-21154,199.54,4,1,0,3
11200-10866,0.0,2,1,0,0
11110-100220825,153.45,3,1,1,2
11290-32078,130.73,2,0,0,0
11410-12292,335.0,4,1,0,0
11290-13654,232.01,5,1,0,6
11380-37266,148.21,3,1,0,0
11215-26417,0.0,1,0,0,0
11110-24076,0.0,3,0,0,0
11110-24252,197.7,4,1,0,2
11200-17119,0.0,1,0,0,0
11200-17517,112.5,2,1,0,1
11110-25327,0.0,3,1,0,0
11200-6141,179.9,3,1,0,0
11200-7287,182.02,4,1,1,5
11215-100234727,123.82,3,0,1,5
11110-11530,69.37,1,0,0,0
11200-4545,0.0,2,1,0,0
11230-8500,256.68,5,0,1,8
11110-14077,0.0,3,1,0,0
11110-21140,0.0,1,0,0,0
11110-5033,146.14,3,1,0,0
11110-6860,0.0,2,0,0,0
11410-18419,0.0,3,1,0,2
11140-5048,379.9091,5,0,0,0
11110-100187156,383.6994,5,2,1,2
11170-100219459,134.5091,3,1,0,2
11170-13774,121.91,3,1,0,0
11110-100188417,46.57,1,0,0,0
11200-21694,0.0,3,1,0,0
11740-13895,166.64,4,1,0,9
11170-21673,181.84,4,1,0,0
11170-25731,153.88,3,1,0,0
11110-13909,0.0,1,0,0,0
11230-9688,230.32,4,1,0,3
11200-100187133,392.23,8,1,1,10
11200-100208958,0.0,3,0,0,0
11110-3444,0.0,1,0,0,0
11200-18587,169.28,4,1,0,2
11110-8639,0.0,2,0,0,0
11110-100216325,47.7653,1,1,0,0
11290-7707,0.0,3,1,0,4
11320-13965,201.7,4,1,1,16
11560-20054,0.0,2,1,0,0
11320-6162,0.0,4,1,0,0
11110-21878,0.0,3,1,0,0
11320-14545,0.0,2,1,0,0
11110-8061,91.66,2,1,0,0
11140-9965,0.0,3,1,0,0
11320-2017,153.76,4,1,0,3
11320-2249,233.2,5,1,0,0
11110-16149,0.0,1,0,0,0
11200-22110,0.0,2,0,0,0
11140-7312,223.0017,4,1,0,5
11140-8857,269.92,6,1,1,11
11110-27502,178.74,4,1,0,0
11320-6248,211.27,5,1,0,4
11350-14238,149.22,3,1,0,3
11110-29590,288.22,5,3,0,14
11350-8629,232.71,5,1,1,8
11110-14305,198.24,4,1,0,0
11140-5150,230.949,5,1,0,5
11110-11522,0.0,2,0,0,0
11140-20199,346.59,6,2,1,8
11170-6840,0.0,1,0,0,0
11650-100291675,79.43,2,1,0,6
11530-8218,0.0,2,1,0,0
11110-100198245,141.638,3,0,0,1
11200-18062,0.0,3,1,0,0
11215-5645,199.42,5,1,1,8
11200-20965,0.0,3,1,0,0
11110-7347,0.0,5,1,0,0
11170-26942,249.29,5,0,0,0
11470-20794,183.93,4,1,0,3
11470-6766,0.0,3,1,0,3
11110-11554,168.47,3,1,0,1
11500-100203670,139.3,3,0,1,7
11650-7864,76.26,2,1,0,4
11110-11388,0.0,1,0,0,0
11110-12092,55.32,1,0,0,0
11215-4807,149.69,3,1,0,1
11215-4990,147.84,3,1,0,1
11380-2193,0.0,1,0,0,0
11215-5713,199.91,4,0,0,3
11110-11812,0.0,1,0,0,0
11110-5199,0.0,3,1,0,0
11650-9147,268.01,6,1,1,7
11260-6863,199.6,4,0,0,3
11260-948,199.86,5,1,0,15
11290-100242474,149.74,4,0,2,6
11110-20687,119.375,2,1,0,1
11290-26450,0.0,3,0,0,0
11170-8645,497.29,10,1,1,5
11110-22958,243.28,5,1,1,10
11410-12437,0.0,3,1,0,2
11410-1593,0.0,2,1,0,0
11140-12622,0.0,2,0,0,0
11170-5170,223.96,4,1,0,3
11410-28780,161.03,4,1,0,3
11110-7132,59.86,1,0,0,0
11290-7793,186.93,4,1,0,3
11110-12474,0.0,1,0,0,0
11215-25301,0.0,2,1,0,0
11305-22988,0.0,3,1,0,0
11305-23840,148.98,3,1,0,3
11110-15630,0.0,4,1,0,21
11410-15236,254.36,6,2,1,12
11110-17441,0.0,3,0,0,0
11305-18417,0.0,3,1,0,4
11140-5302,0.0,3,0,0,0
11230-26924,200.85,5,1,1,0
11110-13903,0.0,1,0,0,0
11140-6113,0.0,2,0,0,0
11110-8805,232.3,4,1,0,1
11140-8029,164.96,4,1,0,0
11230-33156,139.56,3,1,0,0
11140-8045,0.0,3,1,0,0
11170-100225052,149.8602,3,1,0,2
11320-8243,25.8,1,0,0,0
11290-28522,201.84,5,1,0,5
11215-5116,188.46,4,1,0,3
11110-19334,0.0,5,1,0,0
11230-100226052,39.74,1,0,0,0
11110-21139,242.1656,4,1,0,0
11110-21212,0.0,1,0,0,0
11110-23030,61.0115,1,0,0,0
11290-29555,0.0,3,1,0,0
11110-23602,0.0,1,0,0,0
11170-2901,0.0,3,1,0,0
11290-31778,0.0,4,1,0,0
11290-31807,245.23,5,1,1,8
11260-3494,57.12,1,0,0,0
11170-3091,245.44,4,1,0,0
11110-1564,0.0,2,1,0,0
11140-24315,0.0,2,0,0,0
11140-24318,0.0,3,1,0,0
11215-6600,191.06,5,1,0,3
11110-8021,0.0,3,1,0,0
11215-21070,189.07,2,0,0,0
11215-21881,0.0,3,1,0,0
11110-9219,52.34,1,0,0,0
11110-7516,0.0,1,1,0,0
11110-1589,0.0,2,1,0,0
11110-1590,0.0,1,1,0,0
11110-1591,0.0,1,0,0,0
11110-2355,0.0,2,1,0,0
11110-15945,218.67,4,1,0,4
11410-2676,0.0,3,1,0,0
11140-100229302,133.57,3,1,1,5
11140-100229482,592.59,10,1,1,1
11110-15768,0.0,2,0,0,0
11140-10030,0.0,2,0,0,0
11260-23439,0.0,5,1,0,0
11200-4484,100.39,2,1,0,0
11410-2677,0.0,4,1,0,0
11170-19779,247.39,6,1,1,8
11650-15088,134.03,3,1,0,3
11170-19898,0.0,2,0,0,0
11170-19899,0.0,2,0,0,0
11110-100218525,219.14,4,0,1,0
11110-5467,424.95,6,0,0,0
11410-7374,98.44,3,1,0,0
11170-2515,111.35,2,0,0,0
11410-7378,0.0,4,1,0,0
11140-10619,295.68,7,1,1,6
11140-13512,0.0,2,0,0,0
11305-30371,75.7765,3,0,0,2
11170-20345,129.59,3,1,0,0
11140-23344,0.0,2,0,0,0
11170-25983,57.16,2,1,0,0
11215-2186,0.0,3,1,0,2
11230-19446,166.98,3,1,0,0
11110-22163,123.72,3,1,0,4
11110-100196662,217.9,5,2,1,7
11140-15214,0.0,4,1,0,0
11170-24082,149.38,3,1,0,0
11110-100208865,199.86,5,1,1,6
11230-34422,0.0,1,0,0,0
11230-3643,0.0,1,0,0,0
11140-7010,0.0,5,1,0,0
11260-17582,127.37,3,1,0,5
11260-22739,244.85,5,2,0,0
11260-26814,0.0,3,1,0,0
11140-6357,0.0,5,1,0,0
11290-9884,275.7,5,1,0,8
11170-3703,96.2,2,1,0,0
11530-10883,0.0,1,0,0,0
11110-29514,81.92,2,0,0,0
11110-4618,44.68,1,0,0,0
11350-13386,214.73,4,0,0,4
11320-13985,63.22,1,0,0,0
11350-14118,0.0,4,1,0,0
11110-4737,65.02,1,0,0,0
11350-7830,103.37,2,0,0,7
11200-100215197,117.69,2,0,0,0
11290-13336,226.21,5,0,0,4
11230-12329,110.55,2,1,0,0
11290-15913,363.11,7,2,1,19
11260-3113,144.54,3,1,0,0
11110-15796,0.0,1,0,0,0
11260-14407,210.85,5,1,0,4
11110-18160,0.0,1,0,0,0
11530-10040,0.0,1,0,0,0
11110-2392,0.0,1,0,0,0
11290-10367,190.86,3,1,0,0
11410-100238323,188.68,4,1,1,5
11110-25440,0.0,2,1,0,0
11110-7475,274.1389,3,0,0,0
11470-13278,99.19,2,1,0,0
11620-13576,0.0,3,1,0,0
11200-18138,0.0,3,1,0,0
11470-4019,238.35,5,1,0,6
11470-19386,248.32,6,1,1,4
11470-4995,137.2069,3,1,0,4
11110-23541,281.58,4,0,1,0
11110-24894,0.0,1,0,0,0
11530-9623,199.73,5,1,0,5
11380-100188823,105.49,3,0,0,4
11410-20634,0.0,3,1,0,0
11590-100235737,199.71,4,0,1,4
11170-13637,0.0,1,0,0,0
11110-1548,0.0,1,0,0,0
11110-1549,0.0,1,0,0,0
11110-1553,0.0,1,0,0,0
11110-1554,0.0,1,0,0,0
11260-28446,154.6,4,1,0,14
11590-22062,120.13,3,1,0,5
11380-100318015,172.9,3,0,0,1
11260-100244118,327.08,7,1,1,9
11110-23068,274.78,5,1,0,0
11110-1561,0.0,6,1,0,0
11110-1563,0.0,1,0,0,0
11110-1831,0.0,2,0,0,0
11290-100269471,60.87,1,0,0,0
11110-1835,0.0,1,0,0,0
11710-11301,0.0,4,1,0,3
11110-18340,120.9,2,0,0,0
11710-14740,299.41,6,1,1,8
11710-17504,124.98,3,1,0,6
11110-1837,0.0,3,1,0,0
11110-1838,0.0,1,0,0,0
11110-18407,62.71,1,0,0,0
11110-1842,0.0,1,0,0,0
11710-23233,154.9302,6,1,0,38
11110-10048,0.0,3,1,0,0
11110-12346,0.0,1,0,0,0
11650-10786,22.09,1,1,0,0
11170-19932,87.8005,2,1,0,0
11110-18555,46.25,1,0,0,0
11230-29661,0.0,3,0,0,0
11410-9698,142.08,3,1,0,4
11170-22137,0.0,1,0,0,0
11680-24202,254.94,6,1,1,8
11110-1602,0.0,3,1,0,0
11170-16050,120.97,2,1,0,0
11200-6730,191.44,5,1,0,5
11200-18136,0.0,2,1,0,0
11560-13597,55.46,1,0,0,0
11215-100254730,2.1,1,0,0,0
11260-30983,58.64,1,0,0,0
11200-10087,144.12,3,1,0,18
11110-1609,0.0,3,0,0,0
11215-17895,0.0,1,0,0,0
11110-1603,0.0,1,0,0,0
11110-1611,0.0,3,0,0,0
11110-100202067,48.55,3,0,0,3
11110-16195,0.0,2,0,0,0
11290-13716,0.0,2,1,0,0
11170-9904,163.97,3,1,0,0
11110-100206364,195.51,4,1,1,13
11110-16275,0.0,1,0,0,0
11140-4079,101.95,3,1,0,0
11260-100245791,86.5,2,0,0,2
11110-16336,608.59,6,1,1,1
11140-12439,0.0,2,0,0,0
11110-16447,0.0,1,0,0,0
11110-1652,0.0,1,0,0,0
11110-1653,0.0,3,1,0,0
11110-1654,0.0,3,1,0,0
11230-22610,169.68,4,1,0,0
11110-16606,0.0,6,1,0,0
11110-1661,222.29,4,0,0,3
11230-2286,119.13,2,0,0,0
11740-1494,0.0,1,0,0,0
11230-27747,249.46,5,1,1,4
11740-1495,0.0,2,0,0,0
11140-14030,309.16,5,1,0,0
11140-22369,0.0,2,0,0,0
11110-16672,0.0,6,0,0,0
11230-3792,0.0,1,0,0,0
11170-25957,224.3,5,0,0,5
11380-14976,148.74,3,1,0,0
11230-3793,0.0,3,1,0,0
11305-20206,226.64,4,1,0,7
11110-16818,0.0,3,1,0,0
11230-5760,0.0,2,1,0,10
11140-18636,0.0,2,0,0,0
11680-13328,0.0,2,1,0,0
11110-16921,319.92,5,0,0,0
11110-16954,0.0,1,0,0,0
11530-10783,0.0,2,1,0,0
11305-10562,99.92,2,1,0,0
11110-1701,0.0,1,0,0,0
11110-1702,0.0,1,0,0,0
11305-15782,58.04,2,1,0,6
11110-1703,0.0,1,0,0,0
11440-20229,297.74,6,1,1,16
11110-17048,0.0,4,0,0,0
11380-100254580,0.0,1,0,0,0
11380-21064,0.0,3,0,0,0
11440-22029,265.08,5,1,1,5
11110-8666,0.0,1,0,0,0
11140-15357,227.84,5,1,1,8
11110-1714,0.0,1,0,0,0
11110-1715,42.05,2,0,0,0
11110-17162,79.41,2,1,0,0
11110-17202,0.0,1,0,0,0
11110-17258,0.0,5,1,0,0
11110-17271,0.0,2,1,0,0
11140-2560,0.0,5,1,0,0
11110-17362,0.0,3,1,0,0
11110-1741,0.0,1,0,0,0
11110-1742,0.0,1,0,0,0
11110-1743,0.0,4,1,0,0
11350-100222008,0.35,1,0,0,0
11140-13807,0.0,1,0,0,0
11110-100213785,79.67,2,2,1,0
11110-17482,199.04,4,1,1,6
11110-17522,279.82,5,1,0,0
11110-17680,0.0,2,2,0,0
11380-100254578,0.0,1,0,0,0
11380-100254579,0.0,0,1,0,0
11380-100254583,0.0,1,0,0,0
