관리_전유_공용_면적_pk,층_구분_코드,층_번호,면적
11500-100197010,10.0,1,10.86
11500-100197011,40.0,0,24.71
11440-100065675,40.0,1,13.57
11440-100065676,20.0,5,8.68
11440-100065677,40.0,1,12.85
11440-100065678,20.0,6,8.22
11440-100065679,40.0,1,8.18
11440-100065680,20.0,7,5.23
11440-100065681,40.0,1,7.51
11440-100065682,20.0,8,4.8
11350-100054157,10.0,1,83.59
11350-100054158,20.0,1,20.39
11350-100054165,40.0,0,41.07
11545-100118368,40.0,0,5.57
11680-100079851,20.0,1,63.46
11680-100079852,40.0,0,3.35
11215-100087189,20.0,1,1.25
11215-100087190,20.0,1,1.21
11500-100193466,40.0,0,6.2
11500-100193467,10.0,1,26.98
11500-100193468,10.0,1,4.89
11500-100193469,30.0,0,5.57
11500-100193470,10.0,1,3.37
11500-100193471,10.0,1,0.15
11500-100193472,10.0,1,37.615
11500-100193473,10.0,1,23.99
11500-100193474,10.0,1,0.14
11500-100193475,10.0,1,33.405
11500-100193476,10.0,1,3.0
11500-100193477,40.0,0,4.96
11500-100193478,10.0,1,4.35
11500-100193479,10.0,1,23.99
11545-100138924,20.0,2,11.84
11545-100138925,20.0,2,2.78
11545-100138926,20.0,2,22.35
11545-100138927,20.0,2,10.76
11545-100138928,20.0,2,2.87
11545-100138929,20.0,2,22.97
11545-100138930,20.0,2,11.07
11545-100138931,20.0,2,3.53
11545-100138932,20.0,2,28.25
11545-100138933,20.0,2,13.61
11545-100138934,20.0,2,3.18
11545-100138935,20.0,2,25.52
11545-100138936,20.0,2,12.29
11545-100138937,20.0,2,5.08
11545-100138938,20.0,2,40.82
11545-100138939,20.0,2,19.65
11545-100138896,20.0,2,67.65
11545-100138897,20.0,2,74.27
11545-100138898,20.0,2,55.31
11545-100138899,20.0,2,83.9
11545-100138900,20.0,2,59.4
11545-100138901,20.0,2,65.34
11545-100138902,20.0,2,59.4
11545-100138903,20.0,2,61.07
11545-100138904,20.0,2,75.1
11545-100138905,20.0,2,67.83
11545-100138906,20.0,2,108.5
11545-100138907,20.0,2,3.17
11545-100138908,20.0,2,25.45
11545-100138909,20.0,2,12.26
11545-100138910,20.0,2,3.48
11410-100046041,10.0,1,53.5
11410-100046042,10.0,1,7.06
11410-100046043,10.0,2,14.87
11410-100046044,10.0,2,1.96
11410-100046045,20.0,2,64.46
11410-100046046,20.0,2,7.86
11410-100045974,20.0,1,58.88
11410-100045991,20.0,1,1.18
11500-100196109,10.0,0,31.31
11500-100196110,40.0,0,11.47
11500-100196111,10.0,0,4.2
11500-100196112,10.0,0,45.49
11500-100196113,40.0,0,16.67
11500-100196114,10.0,0,6.1
11500-100196115,10.0,0,49.45
11500-100196116,40.0,0,18.13
11500-100196117,10.0,0,6.64
11500-100193588,20.0,1,45.51
11620-100100483,20.0,2,39.61
11620-100100485,20.0,2,39.61
11620-100100486,20.0,2,24.36
11500-100197012,10.0,1,43.11
11500-100197013,10.0,2,10.86
11500-100197014,40.0,0,24.72
11500-100197015,10.0,2,10.86
11500-100197016,10.0,2,43.14
11500-100197017,10.0,2,10.86
11500-100197018,10.0,2,43.14
11500-100197019,40.0,0,24.72
11500-100196798,40.0,0,11.25
11500-100196799,10.0,1,4.94
11500-100196800,10.0,1,19.63
11500-100196801,40.0,0,11.25
11500-100196802,10.0,1,4.94
11500-100196803,10.0,1,19.63
11500-100196804,40.0,0,11.25
11500-100196805,10.0,1,4.94
11500-100196806,10.0,1,19.63
11500-100196807,40.0,0,11.25
11500-100196808,10.0,1,19.63
11500-100196809,10.0,1,4.94
11500-100196810,40.0,0,11.25
11500-100196811,10.0,1,19.63
11500-100196812,10.0,1,4.94
11500-100196813,40.0,0,11.25
11500-100196814,10.0,1,4.94
11500-100196815,10.0,1,19.63
11500-100196816,40.0,0,11.25
11500-100196817,10.0,1,19.63
11500-100196818,10.0,1,4.94
11500-100196819,40.0,0,11.25
11500-100196820,10.0,1,19.63
11500-100196821,10.0,1,4.94
11500-100196822,40.0,0,11.25
11500-100196823,10.0,1,4.94
11500-100196824,10.0,1,19.63
11500-100196825,40.0,0,11.25
11500-100196826,10.0,1,4.94
11500-100196827,10.0,1,19.63
11500-100196828,40.0,0,11.74
11500-100196829,10.0,1,20.49
11500-100196830,10.0,1,5.16
11500-100196831,40.0,0,12.04
11500-100196832,10.0,1,21.01
11500-100196833,10.0,1,5.29
11500-100196834,40.0,0,12.61
11500-100196835,10.0,1,22.02
11500-100196836,10.0,1,5.54
11500-100196837,40.0,0,13.41
11500-100196838,10.0,1,5.89
11500-100196839,10.0,1,23.41
11500-100196840,40.0,0,15.57
11500-100196841,10.0,1,6.84
11500-100196842,10.0,2,27.17
11500-100196843,40.0,0,15.57
11500-100196844,10.0,2,27.17
11500-100196845,10.0,1,6.84
11500-100196846,10.0,1,6.84
11500-100196847,10.0,2,27.17
11500-100196848,40.0,0,15.57
11500-100196849,10.0,1,6.84
11500-100196850,40.0,0,15.57
11500-100196851,10.0,2,27.17
11500-100196852,40.0,0,15.57
11500-100196853,10.0,1,6.84
11500-100196854,10.0,2,27.17
11500-100196855,40.0,0,15.57
11500-100196856,10.0,1,6.84
11500-100196857,10.0,1,27.17
11500-100196858,40.0,0,15.56
11500-100196859,10.0,2,6.84
11500-100196860,10.0,1,27.16
11500-100196861,40.0,0,15.56
11500-100196862,10.0,1,27.16
11500-100196863,10.0,2,6.84
11500-100196864,40.0,0,16.87
11500-100196865,10.0,1,7.41
11500-100196866,10.0,2,29.44
11260-100074718,20.0,1,16.14
11200-100046599,20.0,0,97.12
11200-100046600,20.0,0,84.24
11200-100046601,20.0,0,84.24
11200-100046602,20.0,0,44.55
11200-100046603,20.0,0,139.06
11200-100046604,20.0,0,105.58
11200-100046605,20.0,0,76.02
11200-100046608,20.0,0,90.11
11200-100046609,20.0,0,62.5
11200-100046610,20.0,0,70.08
11200-100046611,20.0,0,76.0
11200-100046612,20.0,0,45.36
11200-100046613,20.0,0,39.01
11200-100046614,20.0,0,41.36
11200-100046615,20.0,0,92.12
11200-100046616,20.0,0,53.52
11200-100046617,20.0,0,49.4
11200-100046618,20.0,0,39.63
11200-100046619,20.0,0,39.39
11200-100046620,20.0,0,54.62
11200-100046621,20.0,0,58.21
11200-100046622,20.0,0,43.1
11200-100046623,20.0,0,45.81
11200-100046624,20.0,0,65.02
11200-100046625,20.0,0,42.76
11200-100046626,20.0,0,52.89
11200-100046627,20.0,0,56.94
11200-100046628,20.0,0,43.56
11200-100046629,20.0,0,54.71
11200-100046630,20.0,0,58.12
11200-100046631,20.0,0,76.06
11200-100046632,20.0,0,80.23
11200-100046633,10.0,0,44.84
11200-100046634,10.0,0,44.84
11200-100046635,10.0,0,44.84
11200-100046636,10.0,0,34.6
11200-100046637,10.0,0,186.06
11200-100046638,10.0,0,152.86
11200-100046639,10.0,0,137.1
11200-100046640,10.0,0,137.47
11200-100046641,10.0,0,221.59
11200-100046642,10.0,0,166.92
11200-100046643,10.0,0,234.66
11200-100046644,10.0,0,199.72
11200-100046645,10.0,0,199.72
11200-100046646,10.0,0,257.67
11200-100046647,10.0,0,179.11
11200-100046648,10.0,0,167.62
11200-100046649,10.0,0,32.51
11200-100046650,10.0,0,32.51
11200-100046651,10.0,0,32.51
11200-100046652,10.0,0,32.51
11200-100045383,40.0,0,25.29
11200-100045384,40.0,0,19.0
11200-100045387,40.0,0,1.31
11200-100045389,40.0,0,1.02
11200-100045395,40.0,0,1.41
11200-100045396,40.0,0,30.49
11200-100045397,40.0,0,14.51
11200-100045398,40.0,0,19.32
11200-100045399,40.0,0,0.89
11200-100045400,40.0,0,15.42
11290-100049732,20.0,0,55.802
11290-100049741,20.0,0,10.099
11140-100122425,40.0,0,17.05
11140-100122426,10.0,1,4.05
11140-100122427,20.0,1,1.97
11170-100002526,20.0,1,10.95
11170-100002527,40.0,0,1.66
11170-100002528,20.0,1,13.76
11170-100002529,40.0,0,2.07
11170-100002530,40.0,0,1.8
11170-100002531,20.0,2,11.95
11170-100002532,20.0,2,13.76
11170-100002533,40.0,0,2.07
11500-100196068,20.0,1,14.76
11500-100196069,20.0,1,25.54
11500-100196070,20.0,1,25.95
11500-100196071,20.0,1,26.97
11500-100196072,20.0,1,27.18
11500-100196076,20.0,2,61.15
11500-100196077,10.0,1,88.84
11500-100196078,10.0,1,96.64
11500-100196085,10.0,0,7.56
11500-100196086,10.0,0,1.01
11500-100196087,40.0,0,2.78
11500-100196088,10.0,0,13.08
11500-100196089,40.0,0,4.79
11500-100196090,10.0,0,1.75
11500-100196091,10.0,0,13.29
11500-100196092,10.0,0,1.78
11500-100196093,40.0,0,4.87
11500-100196094,10.0,0,13.81
11500-100196095,10.0,0,1.85
11500-100196096,40.0,0,5.06
11500-100196097,10.0,0,13.92
11500-100196098,40.0,0,5.1
11500-100196099,10.0,0,1.87
11530-100079803,20.0,1,1.47
11530-100079804,10.0,1,2.5
11530-100079805,10.0,1,13.86
11530-100079806,40.0,0,4.95
11530-100079807,20.0,1,0.1
11530-100079808,10.0,1,4.84
11530-100079809,10.0,1,0.9
11530-100079810,20.0,1,0.49
11530-100079811,40.0,0,4.47
11530-100079812,20.0,1,0.44
11530-100079813,10.0,1,0.82
11530-100079814,10.0,1,4.38
11530-100079815,20.0,1,0.09
11530-100080768,20.0,1,2.16
11530-100080769,20.0,1,1.18
11530-100080770,20.0,1,2.99
11530-100080771,20.0,1,1.63
11530-100080772,20.0,1,1.33
11530-100080773,20.0,1,1.68
11530-100080774,20.0,1,2.3
11530-100080775,20.0,1,1.89
11530-100080776,20.0,1,4.24
11530-100080777,20.0,1,1.14
11530-100080778,20.0,1,1.57
11530-100080779,20.0,1,2.9
11530-100080789,20.0,2,12.65
11530-100080790,20.0,2,2.97
11530-100080791,20.0,2,3.62
11530-100080792,20.0,2,6.69
11530-100080793,20.0,2,10.55
11530-100080794,20.0,2,2.48
11530-100080795,20.0,2,5.57
11530-100080796,20.0,2,3.02
11530-100080797,20.0,2,14.66
11530-100080798,20.0,2,4.21
11530-100080799,20.0,2,3.45
11530-100080800,20.0,2,7.77
11530-100080801,20.0,2,9.26
11530-100080802,20.0,2,2.18
11530-100080803,20.0,2,4.91
11530-100080804,20.0,2,2.66
11530-100080805,20.0,2,19.04
11530-100080806,20.0,2,5.47
11530-100080807,20.0,2,10.1
11530-100080808,20.0,2,4.49
11530-100080809,20.0,3,14.66
11530-100080810,20.0,3,7.77
11530-100080811,20.0,3,3.45
11530-100080812,20.0,3,4.21
11530-100080813,20.0,3,12.65
11530-100080814,20.0,3,3.62
11530-100080815,20.0,3,2.97
11530-100080816,20.0,3,6.69
11530-100080817,20.0,3,10.55
11530-100080818,20.0,3,3.02
11530-100080819,20.0,3,5.57
11530-100080820,20.0,3,2.48
11530-100080821,20.0,3,14.66
11530-100080822,20.0,3,4.21
11530-100080826,20.0,3,4.91
11530-100080827,20.0,3,2.18
11620-100099893,40.0,0,7.79
11620-100099894,40.0,0,0.41
11620-100099895,10.0,1,0.83
11620-100099896,40.0,0,0.47
11620-100099897,10.0,2,0.64
11620-100099898,10.0,2,0.59
11620-100099899,40.0,0,6.89
11710-100209021,20.0,0,57.33
11110-100023781,20.0,1,54.51
11110-100023783,40.0,0,26.88
11110-100023784,10.0,1,4.99
11110-100023785,20.0,1,1.0
11620-100100487,20.0,3,39.61
11620-100100488,,0,39.61
11620-100100489,20.0,3,39.61
11620-100100490,20.0,3,24.36
11620-100100492,10.0,1,217.32
11620-100100496,40.0,0,14.99
11620-100100497,40.0,0,2.5
11620-100100498,40.0,0,0.77
11620-100100499,40.0,0,0.26
11620-100100500,40.0,0,0.26
11620-100100501,40.0,0,2.5
11620-100100502,40.0,0,14.99
11620-100100503,40.0,0,0.77
11620-100100504,40.0,0,14.99
11620-100100505,40.0,0,0.26
11620-100100506,40.0,0,0.77
11620-100100507,40.0,0,2.5
11620-100100508,40.0,0,9.22
11620-100100509,40.0,0,0.48
11620-100100510,40.0,0,1.54
11620-100100511,40.0,0,0.15
11620-100100512,40.0,0,14.99
11620-100100513,40.0,0,0.26
11620-100100514,40.0,0,0.77
11620-100100515,40.0,0,2.5
11620-100100516,40.0,0,14.99
11620-100100517,40.0,0,0.77
11620-100100518,40.0,0,2.5
11620-100100519,40.0,0,0.26
11620-100100520,40.0,0,14.99
11620-100100521,40.0,0,0.26
11620-100100522,40.0,0,0.77
11620-100100523,40.0,0,2.5
11620-100100524,40.0,0,9.22
11620-100100525,40.0,0,0.48
11620-100100526,40.0,0,1.54
11620-100100527,40.0,0,0.15
11620-100100533,40.0,0,82.29
11620-100100536,40.0,0,13.72
11500-100196871,10.0,1,7.41
11500-100196872,10.0,2,29.44
11500-100196873,40.0,0,16.87
11500-100196874,10.0,1,7.41
11500-100196875,10.0,2,29.44
11500-100196876,40.0,0,16.87
11500-100196877,10.0,2,29.44
11500-100196878,10.0,1,7.41
11500-100196879,40.0,0,16.87
11500-100196880,10.0,3,29.44
11500-100196881,10.0,1,7.41
11500-100196882,40.0,0,16.87
11500-100196883,10.0,1,7.41
11500-100196884,10.0,2,29.44
11500-100196885,40.0,0,16.87
11500-100196886,10.0,1,7.41
11500-100196887,10.0,2,29.44
11500-100196888,40.0,0,16.87
11500-100196889,10.0,2,29.44
11500-100196890,10.0,1,7.41
11500-100196891,40.0,0,16.87
11500-100196892,10.0,1,7.41
11500-100196893,10.0,1,29.44
11500-100196894,40.0,0,16.87
11500-100196895,10.0,1,29.44
11500-100196896,10.0,1,7.41
11500-100196897,40.0,0,16.87
11500-100196898,10.0,1,7.41
11500-100196899,10.0,1,29.44
11500-100196900,40.0,0,16.87
11500-100196901,10.0,1,7.41
11500-100196902,10.0,1,29.44
11500-100196903,40.0,0,16.87
11500-100196904,10.0,1,7.41
11500-100196905,10.0,1,29.44
11500-100196906,40.0,0,16.86
11500-100196907,10.0,2,7.4
11500-100196908,10.0,1,29.43
11500-100196909,40.0,0,16.86
11500-100196910,10.0,1,29.43
11545-100141841,20.0,0,18.69
11545-100141873,40.0,0,5.7
11545-100141874,20.0,0,0.65
11545-100141875,20.0,0,0.3
11545-100141876,10.0,1,1.45
11545-100141877,10.0,1,1.07
11545-100141878,40.0,0,6.02
11545-100141879,20.0,0,0.3
11545-100141880,10.0,1,1.13
11545-100141881,20.0,0,0.69
11545-100141882,10.0,1,1.52
11545-100141883,20.0,0,0.69
11545-100141884,10.0,1,1.13
11545-100141885,10.0,1,1.52
11545-100141886,20.0,0,0.3
11260-100066718,20.0,2,51.52
11260-100066719,20.0,2,33.41
11260-100066871,20.0,1,31.98
11260-100066872,20.0,1,26.1
11260-100066873,20.0,1,31.87
11260-100066874,20.0,1,30.42
11260-100066875,20.0,1,43.68
11260-100066876,20.0,2,131.92
11260-100066877,20.0,2,126.36
11260-100066878,20.0,2,60.84
11260-100066879,20.0,2,73.26
11260-100066866,20.0,1,33.58
11545-100138921,20.0,2,10.76
11545-100138922,20.0,2,3.06
11545-100138923,20.0,2,24.58
11650-100070365,20.0,1,39.1
11380-100111304,20.0,2,41.1
11230-100066697,10.0,1,41.474
11230-100066700,10.0,1,81.276
11230-100066731,10.0,1,8.112
11230-100066732,10.0,1,3.056
11230-100066733,10.0,1,0.449
11230-100066744,10.0,1,15.896
11230-100066745,10.0,1,5.989
11200-100047747,40.0,0,35.5
11200-100047748,40.0,0,40.17
11200-100047749,40.0,0,4.31
11200-100047750,40.0,0,19.84
11200-100047751,40.0,0,2.41
11200-100047752,40.0,0,22.45
11200-100047753,40.0,0,19.84
11200-100047754,40.0,0,2.41
11200-100047755,40.0,0,22.45
11200-100047756,40.0,0,19.84
11200-100047757,40.0,0,22.45
11200-100047758,40.0,0,2.41
11200-100047759,40.0,0,15.31
11200-100047760,40.0,0,1.86
11200-100047761,40.0,0,17.33
11200-100047762,40.0,0,82.33
11200-100047763,40.0,0,93.14
11200-100047764,40.0,0,10.0
11200-100047765,40.0,0,67.64
11200-100047766,40.0,0,76.53
11200-100047767,40.0,0,8.21
11200-100047768,40.0,0,60.67
11200-100047769,40.0,0,68.63
11200-100047770,40.0,0,7.37
11200-100047771,40.0,0,60.83
11200-100047772,40.0,0,7.39
11200-100047773,40.0,0,68.82
11200-100047774,40.0,0,98.05
11200-100047775,40.0,0,11.91
11200-100047776,40.0,0,110.93
11200-100047792,40.0,0,79.26
11200-100047793,40.0,0,89.67
11200-100047794,40.0,0,9.62
11200-100047795,40.0,0,74.17
11200-100047796,40.0,0,83.92
11200-100047797,40.0,0,9.01
11200-100047798,40.0,0,14.39
11200-100047799,40.0,0,1.74
11200-100047800,40.0,0,16.27
11200-100047801,40.0,0,14.39
11200-100047802,40.0,0,16.27
11200-100047803,40.0,0,1.74
11200-100047804,40.0,0,14.39
11200-100047805,40.0,0,16.27
11530-100080829,20.0,3,19.04
11530-100080830,20.0,3,5.47
11530-100080831,20.0,3,10.1
11530-100080832,20.0,3,4.49
11530-100080833,20.0,4,4.21
11530-100080834,20.0,4,7.77
11530-100080835,20.0,4,14.66
11530-100080836,20.0,4,3.45
11530-100080847,20.0,4,3.45
11530-100080848,20.0,4,7.77
11530-100080849,20.0,4,9.26
11530-100080851,20.0,4,4.91
11530-100080852,20.0,4,2.18
11530-100080856,20.0,4,10.1
11530-100080857,20.0,5,14.66
11530-100080858,20.0,5,4.21
11530-100080859,20.0,5,3.45
11530-100080860,20.0,5,7.77
11530-100080861,20.0,5,3.62
11530-100080862,20.0,5,6.69
11530-100080863,20.0,5,12.65
11530-100080864,20.0,5,2.97
11530-100080865,20.0,5,10.55
11530-100080867,20.0,5,2.48
11530-100080868,20.0,5,5.57
11530-100080869,20.0,5,14.66
11530-100080870,20.0,5,3.45
11530-100080871,20.0,5,7.77
11530-100080872,20.0,5,4.21
11530-100080873,20.0,5,9.26
11530-100080874,20.0,5,4.91
11530-100080875,20.0,5,2.66
11530-100080876,20.0,5,2.18
11530-100080877,20.0,5,19.04
11530-100080878,20.0,5,4.49
11530-100080879,20.0,5,10.1
11530-100080880,20.0,5,5.47
11530-100080881,20.0,6,14.66
11530-100080882,20.0,6,3.45
11530-100080883,20.0,6,4.21
11530-100080884,20.0,6,7.77
11530-100080885,20.0,6,12.65
11530-100080886,20.0,6,6.69
11530-100080887,20.0,6,3.62
11530-100080888,20.0,6,2.97
11530-100080889,20.0,6,10.55
11530-100080890,20.0,6,3.02
11530-100080891,20.0,6,2.48
11530-100080892,20.0,6,5.57
11530-100080893,20.0,6,14.66
11530-100080894,20.0,6,4.21
11530-100080895,20.0,6,7.77
11530-100080896,20.0,6,3.45
11530-100080897,20.0,6,9.26
11530-100080898,20.0,6,2.66
11530-100080899,20.0,6,4.91
11530-100080900,20.0,6,2.18
11530-100080901,20.0,6,19.04
11530-100080902,20.0,6,5.47
11530-100080903,20.0,6,10.1
11530-100080904,20.0,6,4.49
11530-100080905,20.0,7,14.66
11230-100070131,20.0,1,101.75
11230-100070132,20.0,2,78.24
11230-100070133,20.0,2,79.17
11230-100070134,20.0,3,78.24
11230-100070135,20.0,3,79.17
11230-100070150,40.0,0,17.06
11230-100070151,10.0,1,22.85
11230-100070152,10.0,1,8.18
11140-100121366,10.0,2,23.37
11140-100121375,10.0,2,5.62
11140-100121376,10.0,2,1.0
11350-100053981,20.0,1,26.24
11545-100141887,40.0,0,6.02
11545-100141888,20.0,0,0.79
11545-100141889,40.0,0,6.96
11545-100141890,10.0,1,1.76
11545-100141891,10.0,1,1.31
11545-100141892,20.0,0,0.35
11545-100141893,20.0,0,0.79
11545-100141894,20.0,0,0.35
11545-100141895,40.0,0,6.96
11545-100141896,10.0,1,1.31
11545-100141897,10.0,1,1.76
11545-100141898,20.0,0,0.82
11545-100141899,40.0,0,7.24
11545-100141900,10.0,1,1.36
11545-100141901,10.0,1,1.83
11545-100141902,20.0,0,0.36
11545-100141903,20.0,0,0.36
11545-100141904,40.0,0,7.24
11545-100141905,20.0,2,0.82
11545-100141906,10.0,1,1.36
11545-100141907,10.0,1,1.83
11545-100141908,20.0,0,1.24
11545-100141909,40.0,0,10.85
11545-100141910,20.0,0,0.55
11545-100141911,10.0,1,2.04
11545-100141912,10.0,1,2.75
11260-100066909,40.0,0,25.99
11260-100066910,40.0,0,7.58
11260-100066911,40.0,0,18.7
11260-100066912,40.0,0,7.58
11260-100066913,40.0,0,18.7
11260-100066914,40.0,0,7.15
11260-100066915,40.0,0,17.62
11260-100066916,40.0,0,5.83
11260-100066917,40.0,0,14.38
11260-100066918,40.0,0,7.12
11260-100066919,40.0,0,17.56
11260-100066920,40.0,0,6.8
11260-100066921,40.0,0,16.76
11260-100066922,40.0,0,9.76
11260-100066923,40.0,0,24.07
11260-100066924,40.0,0,29.49
11260-100066925,40.0,0,72.69
11260-100066926,40.0,0,28.25
11260-100066927,40.0,0,69.63
11260-100066928,40.0,0,13.6
11260-100066929,40.0,0,33.52
11260-100066930,40.0,0,16.38
11260-100066931,40.0,0,40.37
11260-100066867,20.0,1,33.58
11260-100066868,20.0,1,47.16
11260-100066869,20.0,1,33.93
11260-100066870,20.0,1,33.93
11260-100066732,40.0,0,15.96
11260-100066733,40.0,0,3.61
11260-100066734,40.0,0,10.34
11260-100066735,40.0,0,2.35
11290-100000903,20.0,1,120.34
11290-100000907,20.0,1,16.38
11200-100045354,40.0,0,24.34
11740-100087064,20.0,1,4.8
11740-100087065,40.0,0,11.05
11200-100047806,40.0,0,1.74
11200-100047807,40.0,0,14.39
11200-100047808,40.0,0,16.27
11200-100047809,40.0,0,1.74
11530-100080906,20.0,7,4.21
11530-100080907,20.0,7,3.45
11530-100080908,20.0,7,7.77
11530-100080920,20.0,7,3.45
11530-100080921,20.0,7,9.26
11530-100080923,20.0,7,4.91
11530-100080924,20.0,7,2.18
11530-100080925,20.0,7,19.04
11530-100080927,20.0,7,10.1
11530-100080928,20.0,7,4.49
11530-100080929,10.0,1,33.25
11530-100080930,10.0,1,9.02
11530-100080932,10.0,1,4.01
11530-100080933,10.0,1,30.06
11530-100080934,10.0,1,8.13
11530-100080935,10.0,1,3.61
11530-100080936,10.0,1,4.41
11530-100080937,10.0,1,17.31
11530-100080938,10.0,1,4.68
11530-100080939,10.0,1,2.08
11530-100080940,10.0,1,2.54
11620-100104943,40.0,0,76.34
11620-100104944,40.0,0,65.17
11620-100104960,40.0,0,7.74
11230-100070153,40.0,0,13.12
11230-100070154,20.0,2,17.57
11230-100070155,20.0,2,16.55
11230-100070156,20.0,2,6.29
11230-100070157,20.0,2,13.27
11230-100070158,20.0,2,16.75
11230-100070159,20.0,2,6.37
11230-100070160,20.0,2,17.78
11230-100070161,20.0,3,13.12
11230-100070162,20.0,3,16.55
11230-100070163,20.0,3,6.29
11230-100070164,20.0,3,17.57
11230-100070165,20.0,3,13.27
11230-100070166,20.0,3,16.75
11230-100070167,20.0,3,6.37
11230-100070168,20.0,4,17.78
11650-100069339,20.0,2,42.365
11650-100069340,20.0,2,49.25
11650-100069341,20.0,2,49.25
11650-100069342,20.0,2,42.365
11650-100069343,20.0,3,42.365
11650-100069344,20.0,3,49.25
11650-100069345,20.0,3,49.25
11650-100069346,20.0,3,42.365
11650-100069363,40.0,0,8.6725
11650-100069364,10.0,1,0.96
11650-100069365,40.0,0,10.07
11650-100069366,10.0,1,1.12
11650-100069367,40.0,0,10.07
11650-100069368,10.0,1,1.12
11650-100069369,40.0,0,8.6725
11650-100069370,10.0,1,0.96
11650-100069371,40.0,0,8.6725
11650-100069372,10.0,1,0.96
11650-100069373,40.0,0,10.07
11650-100069374,10.0,1,1.12
11650-100069375,40.0,0,10.07
11650-100069376,10.0,1,1.12
11650-100069377,40.0,0,8.6725
11650-100069378,10.0,1,0.96
11710-100212282,10.0,2,6.03
11620-100104723,20.0,1,9.24
11620-100104725,20.0,1,11.75
11620-100104727,20.0,2,16.25
11620-100104731,20.0,2,21.43
11620-100104733,20.0,2,22.15
11620-100104735,20.0,2,24.31
11620-100104738,40.0,0,3.42
11620-100104739,10.0,1,1.4
11620-100104740,10.0,1,0.31
11620-100104744,40.0,0,4.36
11620-100104745,10.0,1,1.78
11620-100104746,10.0,1,0.4
11620-100104750,40.0,0,6.03
11620-100104751,10.0,1,2.46
11620-100104752,10.0,1,0.55
11620-100104762,40.0,0,7.94
11620-100104763,10.0,1,3.24
11620-100104764,10.0,1,0.72
11620-100104768,40.0,0,8.21
11620-100104769,10.0,1,3.35
11620-100104770,10.0,1,0.74
11200-100045337,40.0,0,2.53
11200-100045338,40.0,0,41.19
11200-100045339,40.0,0,54.81
11200-100045340,40.0,0,2.43
11200-100045341,40.0,0,52.72
11200-100045342,40.0,0,39.61
11200-100045343,40.0,0,2.26
11200-100045344,40.0,0,48.98
11200-100045345,40.0,0,36.8
11200-100045346,40.0,0,1.63
11200-100045347,40.0,0,35.26
11200-100045348,40.0,0,26.5
11200-100045349,40.0,0,1.75
11200-100045350,40.0,0,28.48
11200-100045351,40.0,0,37.91
11200-100045352,40.0,0,1.49
11200-100045353,40.0,0,32.4
11530-100079741,20.0,1,72.23
11530-100079754,40.0,0,12.73
11530-100079767,10.0,1,55.08
11530-100079768,10.0,1,45.43
11530-100079769,10.0,1,33.59
11530-100079770,10.0,1,19.36
11530-100079771,10.0,1,61.25
11530-100079772,10.0,1,21.41
11530-100079773,10.0,1,19.35
11530-100079779,10.0,1,279.64
11530-100079781,40.0,0,12.79
11530-100079782,20.0,1,1.32
11530-100079783,10.0,1,12.46
11530-100079784,10.0,1,2.25
11530-100079785,20.0,1,0.25
11530-100079786,40.0,0,10.54
11530-100079787,10.0,1,1.86
11530-100079788,20.0,1,1.08
11530-100079789,20.0,1,0.21
11530-100079790,10.0,1,10.28
11530-100079791,40.0,0,7.79
11530-100079792,10.0,1,7.6
11530-100079793,20.0,1,0.15
11530-100079794,20.0,1,0.79
11530-100079795,10.0,1,1.39
11530-100079796,40.0,0,4.48
11530-100079797,20.0,1,0.44
11530-100079798,10.0,1,4.38
11530-100079799,10.0,1,0.82
11530-100079800,20.0,1,0.09
11530-100079801,40.0,0,14.23
11530-100079802,20.0,1,0.28
11530-100079839,40.0,0,65.13
11530-100079840,10.0,1,63.28
11500-100198109,20.0,1,52.74
11500-100198114,40.0,0,1.5512
11500-100198116,40.0,0,3.2084
11470-100053376,40.0,0,24.84
11470-100053319,20.0,3,61.16
11470-100053320,20.0,3,57.2
11470-100053321,20.0,3,75.98
11470-100053322,20.0,4,65.28
11470-100053323,20.0,4,58.96
11470-100053324,20.0,4,61.16
11470-100053325,20.0,4,58.96
11470-100053326,20.0,4,65.9
11470-100053327,20.0,5,79.32
11470-100053328,20.0,5,80.08
11470-100053329,20.0,5,73.92
11470-100053330,20.0,5,79.1
11470-100053331,20.0,6,65.28
11470-100053332,20.0,6,58.96
11470-100053333,20.0,6,61.16
11470-100053334,20.0,6,58.96
11470-100053335,20.0,6,65.9
11470-100053336,20.0,7,76.56
11470-100053337,20.0,7,76.56
11470-100053338,10.0,1,135.39
11470-100053339,10.0,1,87.37
11470-100053340,10.0,1,88.55
11470-100053341,10.0,1,122.79
11470-100053342,10.0,1,91.25
11470-100053343,40.0,0,17.29
11470-100053344,10.0,3,5.71
11470-100053266,10.0,1,78.61
11470-100053267,10.0,1,92.78
11470-100053274,40.0,0,12.59
11470-100053275,40.0,0,14.86
11470-100053447,10.0,3,7.8
11470-100053448,40.0,0,26.38
11470-100053449,10.0,3,8.73
11470-100053450,10.0,2,45.75
11470-100053451,40.0,0,30.63
11470-100053456,10.0,3,10.13
11470-100053457,40.0,0,54.17
11470-100053458,10.0,3,17.92
11470-100053459,10.0,2,94.0
11710-100209636,10.0,0,119.11
11710-100209637,20.0,0,140.77
11710-100209648,40.0,0,23.72
11710-100209649,10.0,1,7.65
11710-100209650,40.0,0,28.03
11560-100079166,20.0,1,10.57
